Data;Ultimo;Abertura;Maxima;Minima;Volume;Variacao
07/08/2020;63.222,00;63.500,00;63.500,00;63.222,00;0,15K;-0,44%
06/08/2020;63.500,00;62.000,00;63.500,00;62.000,00;0,21K;2,58%
05/08/2020;61.903,10;59.950,00;61.903,10;59.950,00;0,25K;3,26%
04/08/2020;59.950,00;59.840,00;60.248,20;59.840,00;0,10K;0,18%
03/08/2020;59.840,00;58.682,10;59.840,00;58.280,00;0,23K;2,65%
02/08/2020;58.296,40;61.298,10;61.298,10;58.208,00;0,25K;-4,90%
01/08/2020;61.298,10;59.163,50;61.298,10;59.163,50;0,22K;3,61%
31/07/2020;59.163,50;57.330,00;59.163,50;57.330,00;0,24K;3,20%
30/07/2020;57.330,00;57.451,00;57.451,00;56.891,00;0,21K;-0,21%
29/07/2020;57.451,00;56.165,00;57.451,00;56.165,00;0,35K;2,29%
28/07/2020;56.165,00;55.300,00;56.656,00;55.300,00;0,38K;1,26%
27/07/2020;55.465,00;50.405,00;55.465,00;50.405,00;0,92K;10,04%
26/07/2020;50.405,00;50.400,20;50.500,80;50.400,20;0,12K;0,01%
25/07/2020;50.400,20;50.150,00;50.400,20;50.100,00;0,07K;0,50%
24/07/2020;50.150,00;49.850,00;50.150,00;49.850,00;0,10K;0,60%
23/07/2020;49.850,00;49.321,00;49.850,00;49.321,00;0,15K;1,07%
22/07/2020;49.321,00;49.143,00;49.321,00;49.110,60;0,21K;0,36%
21/07/2020;49.143,00;49.748,00;49.748,00;49.143,00;0,13K;-1,22%
20/07/2020;49.748,00;49.680,00;49.748,00;49.680,00;0,12K;0,14%
19/07/2020;49.680,00;49.636,00;49.680,00;49.636,00;0,02K;0,09%
18/07/2020;49.636,00;49.999,90;49.999,90;49.600,10;0,02K;-0,73%
17/07/2020;49.999,90;49.320,00;49.999,90;49.320,00;0,12K;1,38%
16/07/2020;49.320,00;49.868,00;49.868,00;49.320,00;0,21K;-1,10%
15/07/2020;49.868,00;50.073,40;50.100,10;49.868,00;0,15K;-0,41%
14/07/2020;50.073,40;50.042,20;50.124,00;50.042,20;0,13K;0,06%
13/07/2020;50.042,20;49.920,00;50.042,20;49.800,40;0,15K;0,24%
12/07/2020;49.920,00;49.743,00;49.920,00;49.743,00;0,02K;0,36%
11/07/2020;49.743,00;49.905,90;49.905,90;49.743,00;0,01K;-0,33%
10/07/2020;49.905,90;49.899,00;49.905,90;49.899,00;0,13K;0,01%
