ano;mes;acucar;arroz;banana;cafe;carne;farinha;feijao;leite;manteiga;oleo;pao;tomate;valorcesta
2005;1;3,21;6,05;9,68;2,49;37,26;4,41;8,24;10,32;9,9;2,31;23,7;14,4;131,96
2005;2;3,15;5,94;10,05;2,5;36,81;4,41;8,42;10,26;10,05;2,34;23,7;17,76;135,38
2005;3;3,18;5,9;10,05;2,5;35,87;3,87;8,46;10,14;10,2;2,25;23,7;16,56;132,68
2005;4;3,27;5,9;10,2;2,51;35,55;3,81;8,51;10,26;10,2;2,3;24;17,04;133,55
2005;5;3,3;5,94;11,78;2,57;35,51;4,11;9,05;10,32;10,16;2,25;24;23,52;142,49
2005;6;3,27;5,9;11,85;2,75;35,28;3,63;9,5;10,26;9,99;2,12;24,3;18,36;137,21
2005;7;3,24;5,8;11,78;2,59;35,24;3,72;10,8;10,32;10,05;2,02;24,3;22,08;141,92
2005;8;3,39;5,72;11,25;2,49;34,34;3,75;10,22;10,26;9,92;1,99;24,3;19,2;136,82
2005;9;3,66;5,54;11,33;2,65;3,8;3,66;9,05;10,26;10,01;1,98;24,3;16,2;134,27
2005;10;3,66;5,47;11,7;2,41;35,37;3,72;8,87;10,2;9,68;1,92;24,6;19,32;136,91
2005;11;3,51;5,4;11,33;2,39;35,19;3,69;8,46;10,14;9,77;1,9;24,6;26,04;142,41
2005;12;3,51;5,36;11,85;2,38;37,44;3,69;8,6;10,08;9,54;1,82;24,6;26,76;145,63
2006;1;3,75;5,4;12,08;2,37;36;3,66;8,73;10,02;9,65;1,78;24,9;20,04;138,37
2006;2;4,11;5,51;11,85;2,38;36,05;3,63;9,86;9,9;9,51;1,84;24,6;15,36;134,58
2006;3;4,2;5,47;12,23;2,39;35,82;3,69;10,76;10,02;9,65;1,86;25,2;16,68;137,96
2006;4;4,32;5,4;12,75;2,54;35,91;3,75;11,03;10,08;9,84;1,82;25,2;22,92;145,55
2006;5;4,44;5,33;12,83;2,63;36,18;3,75;10,13;10,02;9,99;1,82;24,3;26,76;148,17
2006;6;4,59;5,33;12,6;2,63;35,55;3,84;10,17;10,08;9,98;1,81;24,6;24,12;145,29
2006;7;4,53;5,33;12,75;2,63;36,32;3,93;9,86;10,02;10,1;1,84;30;19,2;146,49
2006;8;4,62;5,47;12,75;2,57;35,96;3,96;9,14;9,9;9,89;1,87;35,7;15,24;147,06
2006;9;4,59;5,54;12,6;2,59;36;3,9;8,37;9,96;9,89;1,88;24,3;17,4;137,02
2006;10;4,47;5,54;12,38;2,56;37,58;3,93;8,37;10,02;9,87;1,88;24,6;20,76;141,95
2006;11;4,26;5,65;12,83;2,58;37,67;3,96;8,37;10,2;9,89;1,94;24,6;25,44;147,38
2006;12;4,23;5,87;13,13;2,61;2,99;0,76;1,08;10,14;9,98;2,08;24,6;20,04;143,91
2007;1;4,17;5,9;12,6;2,62;38,25;3,99;8,69;10,14;10,1;2,14;24,6;27;150,2
2007;2;4,17;5,9;12,3;2,63;37,31;4,05;8,87;10,2;10,19;2,14;24,6;32,76;155,11
2007;3;4,2;5,9;12,75;2,78;38,07;4,32;9,09;10,2;10,11;2,11;24,6;40,68;164,81
2007;4;4,17;5,83;13,2;2,87;35,87;4,17;9,14;10,2;10,04;2,13;25,2;33,84;156,65
2007;5;4,08;5,8;12,9;2,94;36,23;4,32;9,14;10,2;9,99;2,08;25,2;21,72;144,59
2007;6;4,14;5,87;13,12;2,76;25,96;4,29;9,5;10,62;9,39;2,45;26,52;16,8;131,42
