ANO_MES;PRP;ICMS;MBD;MBR;PFP;PRECO_FINAL
2002-01-01;9,57;2,57;6,12;3,41;18,87;40,54
2002-02-01;9;2,57;6,02;3,33;18,69;39,61
2002-03-01;8,08;2,83;6,48;4,46;21,85;43,7
2002-04-01;8,1;2,91;7,18;3,75;21,94;43,88
2002-05-01;8,09;2,94;7,2;3,61;21,84;43,68
2002-06-01;7,72;3,18;7,02;4,62;24,05;46,59
2002-07-01;7,73;3,43;7,07;3,71;23,45;45,39
2002-08-01;8,44;3,59;7,17;4,62;25,47;49,29
2002-09-01;8,91;3,74;7,47;4,46;26,32;50,9
2002-10-01;8,61;3,71;7,66;3,42;25,08;48,48
2002-11-01;8,27;3,51;6,94;3,04;23,38;45,14
2002-12-01;8,51;3,55;5,83;3,54;23,09;44,52
2003-01-01;10,53;4,02;4,76;5,13;26,5;50,94
2003-02-01;11,31;4,3;5,51;4,72;28,05;53,89
2003-03-01;11,42;4,24;6,79;4,61;29,65;56,71
2003-04-01;11,42;4,19;6,92;4,11;28,93;55,57
2003-05-01;11,42;4,18;6,78;4,21;28,88;55,47
2003-06-01;11,42;4,13;7,44;4,37;29,65;57,01
2003-07-01;11,42;4,16;7,5;4,28;29,65;57,01
2003-08-01;11,42;4,18;7,45;4,19;29,53;56,77
2003-09-01;11,42;4,18;7,39;4,06;29,34;56,39
2003-10-01;11,42;4,17;7,23;4,04;29,15;56,01
2003-11-01;11,42;4,17;7,27;4,08;29,23;56,17
2003-12-01;11,42;4,17;7,01;4,15;29,04;55,79
2004-01-01;11,42;4,18;6,88;4,1;28,87;55,45
2004-02-01;11,42;4,17;6,77;4,15;28,8;55,31
2004-03-01;11,42;4,16;7,1;4,17;29,21;56,06
2004-04-01;11,42;4,18;7,18;4,27;29,04;56,09
2004-05-01;11,42;4,18;7,31;4,36;29,44;56,71
2004-06-01;11,42;4,19;7,85;4,6;30,18;58,24
2004-07-01;11,28;4,2;7,73;5,04;30,44;58,69
2004-08-01;11,33;4,22;7,7;5,01;30,43;58,69
2004-09-01;11,33;4,24;7,62;5,07;30,44;58,7
2004-10-01;11,26;4,27;7,57;5,06;30,34;58,5
2004-11-01;11,26;4,27;7,46;5,05;30,22;58,26
2004-12-01;11,26;4,25;7,44;5,05;30,17;58,17
2005-01-01;11,28;4,25;7,33;4,84;29,88;57,58
2005-02-01;11,3;4,31;6,93;5,25;29,97;57,76
2005-03-01;11,3;4,31;6,82;5,29;29,9;57,62
2005-04-01;11,31;4,31;6,63;5,33;29,78;57,36
2005-05-01;11,31;4,31;6,62;5,38;29,81;57,43
2005-06-01;11,32;4,32;6,49;5,42;29,73;57,28
2005-07-01;11,32;4,32;6,4;5,41;29,63;57,08
2005-08-01;11,33;4,33;6,46;5,36;29,66;57,14
2005-09-01;11,33;4,33;6,38;5,4;29,62;57,06
2005-10-01;11,32;4,33;6,36;5,37;29,56;56,94
2005-11-01;11,3;4,33;6,64;5,2;29,65;57,12
2005-12-01;11,3;4,38;6,8;5,31;29,97;57,76
2006-01-01;11,3;4,28;7,13;5,15;30,04;57,9
2006-02-01;11,32;4,3;7,38;5;30,18;58,18
2006-03-01;11,33;4,3;7,61;4,96;30,38;58,58
2006-04-01;11,33;4,3;7,67;5,06;30,55;58,91
2006-05-01;11,33;4,31;7,87;5,21;30,9;59,62
2006-06-01;11,33;4,32;8,05;5,53;31,41;60,64
2006-07-01;11,31;4,33;8,39;5,79;32;61,82
2006-08-01;11,32;4,34;8,72;5,96;32,52;62,86
2006-09-01;11,33;4,39;8,77;6,2;32,87;63,56
2006-10-01;11,32;4,4;8,93;6,16;32,99;63,8
2006-11-01;11,33;4,4;9,12;6,14;33,17;64,16
