pais;rede;ano;aprovacao_total;aprovacao_1_ano;aprovacao_2_ano;aprovacao_3_ano;aprovacao_4_ano;rendimento;nota_matematica;nota_portugues;nota_media;ideb;meta
Brasil;Total;2005;73,2;65,6;75,3;81,8;90,3;0,771854318;271,29;257,60;4,356054464;3,4;NA
Brasil;Total;2007;74,1;67,1;76,2;81,8;89,8;0,778402664;272,89;261,39;4,435226140;3,5;3,4
Brasil;Total;2009;75,9;68,6;78,1;84,2;90,6;0,795301851;274,72;268,83;4,572342394;3,6;3,5
Brasil;Total;2011;77,4;70,2;79,4;85,5;88,3;0,802239734;274,83;268,57;4,569995122;3,7;3,7
Brasil;Total;2013;80,1;73,2;82,0;88,0;88,0;0,823323150;270,15;264,06;4,436749815;3,7;3,9
Brasil;Total;2015;81,7;74,6;83,6;89,5;87,7;0,834337300;267,60;267,87;4,457971136;3,7;4,3
Brasil;Total;2017;83,1;76,4;84,7;90,5;85,2;0,838887579;270,63;268,52;4,510257855;3,8;4,7
Brasil;Total;2019;86,1;80,5;87,3;92,5;88,9;0,870766900;278,53;279,53;4,786033271;4,2;5,0
Brasil;Estadual;2005;70,5;62,7;72,7;79,4;89,3;0,747708439;260,03;248,69;4,064599366;3,0;NA
Brasil;Estadual;2007;71,6;64,8;73,9;79,6;88,8;0,757748349;262,88;253,49;4,176409541;3,2;3,1
Brasil;Estadual;2009;73,5;66,2;75,8;82,1;90,0;0,775348096;265,45;261,86;4,337804447;3,4;3,2
Brasil;Estadual;2011;75,0;67,6;77,2;83,7;87,8;0,783035992;264,94;261,07;4,318815179;3,4;3,3
Brasil;Estadual;2013;78,0;70,9;79,9;86,4;87,3;0,805658223;260,65;256,33;4,187604286;3,4;3,6
Brasil;Estadual;2015;79,7;72,3;81,8;88,0;86,4;0,816428035;259,69;260,60;4,238043295;3,5;3,9
Brasil;Estadual;2017;81,2;74,1;82,9;89,2;83,5;0,820600131;259,92;260,12;4,234088004;3,5;4,4
Brasil;Estadual;2019;84,5;78,5;85,8;91,5;86,6;0,853421251;268,61;272,02;4,534282278;3,9;4,6
Brasil;Pública;2005;70,6;62,9;72,9;79,6;90,0;0,750615540;260,81;249,27;4,084188471;3,1;NA
Brasil;Pública;2007;71,8;64,9;74,2;79,9;89,4;0,760648080;263,66;254,07;4,196047231;3,2;3,1
Brasil;Pública;2009;73,7;66,4;76,0;82,3;90,5;0,777929703;265,92;262,16;4,348896589;3,4;3,2
Brasil;Pública;2011;75,2;67,8;77,4;83,8;88,0;0,784837416;265,38;261,38;4,329635673;3,4;3,4
Brasil;Pública;2013;78,1;71,0;80,1;86,5;87,9;0,807980268;261,06;256,61;4,197554330;3,4;3,6
Brasil;Pública;2015;79,8;72,5;81,9;88,1;87,4;0,819747705;260,04;260,88;4,247150643;3,5;4,0
Brasil;Pública;2017;81,4;74,3;83,1;89,3;84,9;0,825262680;260,33;260,43;4,244487149;3,5;4,4
Brasil;Pública;2019;84,7;78,7;85,9;91,6;88,5;0,859025545;269,03;272,33;4,544821873;3,9;4,7
Brasil;Privada;2005;92,7;89,3;93,4;95,7;95,1;0,933066165;333,31;306,88;5,964842495;5,6;NA
Brasil;Privada;2007;93,8;90,3;94,5;97,0;96,3;0,944516681;329,55;306,32;5,903654208;5,6;5,6
Brasil;Privada;2009;93,3;89,5;94,1;96,9;92,7;0,932236197;329,29;310,16;5,957487553;5,6;5,7
Brasil;Privada;2011;93,4;89,8;94,2;97,0;95,3;0,939981555;332,89;312,75;6,046821806;5,7;5,8
Brasil;Privada;2013;93,8;90,1;94,6;97,4;89,6;0,928133285;321,59;306,19;5,789910348;5,4;6,0
Brasil;Privada;2015;94,5;91,0;95,2;97,8;95,3;0,947612634;310,03;307,05;5,640425049;5,3;6,3
Brasil;Privada;2017;95,7;92,9;96,2;98,3;94,8;0,955093048;329,66;314,88;6,033342865;5,8;6,7
Brasil;Privada;2019;96,4;94,0;96,8;98,6;97,4;0,966701842;334,72;322,11;6,212643814;6,0;6,8
Brasil;Total;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,2
Brasil;Estadual;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,9
Brasil;Pública;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,9
Brasil;Privada;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,0
