sigla_uf;cod_municipio;nome_municipio;id_escola;nome_escola;rede;taxa_de_aprovacao_2017_total;taxa_de_aprovacao_2017_1_ano;taxa_de_aprovacao_2017_2_ano;taxa_de_aprovacao_2017_3_ano;taxa_de_aprovacao_2017_4_ano;taxa_de_aprovacao_2017_indicador_de_rendimento;taxa_de_aprovacao_2019_total;taxa_de_aprovacao_2019_1_ano;taxa_de_aprovacao_2019_2_ano;taxa_de_aprovacao_2019_3_ano;taxa_de_aprovacao_2019_4_ano;taxa_de_aprovacao_2019_indicador_de_rendimento;nota_SAEB_2017_matematica;nota_SAEB_2017_lingua_portuguesa;nota_SAEB_2017_media_padronizada;nota_SAEB_2019_matematica;nota_SAEB_2019_lingua_portuguesa;nota_SAEB_2019_media_padronizada;IDEB_2017;IDEB_2019;projecoes_2019;projecoes_2021
RO;1100015;Alta Floresta D'Oeste;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;96.1;96.2;95.1;96.4;;0.958966;97.7;96.2;96.3;100;;0.974683;297.74;286.88;5.165.867;313.39;306.34;5.676.987;5;5.5;5.2;5.4
RO;1100015;Alta Floresta D'Oeste;11025638;EEEFM PADRE EZEQUIEL RAMIN;Estadual;85.1;80.2;89;87.8;;0.85484;91.4;90.8;90.4;93.5;;0.915462;255.04;247.86;3.982.016;272.43;266;4.497.814;3.4;4.1;3.6;3.8
RO;1100023;Ariquemes;11006773;EEEFM CORA CORALINA;Estadual;;;;;;;68;33.8;70.9;78.8;;0.532099;;;;;;;;;;
RO;1100023;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA;Estadual;70.2;62.8;68.8;86.3;;0.713505;70.3;58.5;70.5;91.2;;0.710171;264.47;264.45;4.362.813;;;;3.1;;3.3;3.5
RO;1100023;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Estadual;80.2;69;90;89.5;;0.815726;88.2;82.2;92.7;100;;0.910389;;;;272.74;275.19;4.639.743;;4.2;;4.4
RO;1100023;Ariquemes;11007656;COLEGIO DINAMICO EDUCACAO BASICA;Privada;97.5;96.5;97.7;98.3;;0.974942;;;;;;;341.58;323.91;6.335.938;;;;6.2;;6.3;6.5
RO;1100023;Ariquemes;11007885;EEEMTI HEITOR VILLA LOBOS;Estadual;91;86.6;95;100;;0.935347;87;81;90;93.3;;0.877837;295.79;294.42;5.251.353;301.57;302.97;5.460.527;4.9;4.8;5.1;5.3
RO;1100023;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE;Estadual;88.7;87;87.4;92.9;;0.890203;90.5;89.3;88.3;95.4;;0.908942;267.03;264.01;4.392.181;278.61;279.15;4.781.468;3.9;4.3;4.1;4.3
RO;1100023;Ariquemes;11048620;EEEFM PROFESSORA CARMEM IONE DE ARAUJO;Estadual;76.9;64.6;89.7;89.5;;0.793623;85.4;77.9;100;93.8;;0.895577;;;;265.85;268.9;4.448.812;;4;;4.2
RO;1100023;Ariquemes;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Estadual;84.2;86.6;80;87.8;;0.846576;75.1;68.2;77.2;84.3;;0.759907;;;;;;;;;;
RO;1100023;Ariquemes;11108800;IFRO - CAMPUS ARIQUEMES;Federal;97.3;97.1;97.6;98.5;81.8;0.931928;93.8;89.9;94.3;98.9;;0.942236;;;;;;;;;;
RO;1100031;Cabixi;11034440;EEEFM JOSE DE ANCHIETA;Estadual;94.3;91.9;94.2;100;;0.952469;94.7;100;90;91.7;;0.937025;;;;;;;;;;
RO;1100049;Cacoal;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;93.2;97.1;88.9;93.6;;0.93078;;;;;;;306.8;298.72;5.470.359;;;;5.1;;5.3;5.5
RO;1100049;Cacoal;11026197;EEEFM CARLOS DRUMMOND DE ANDRADE;Estadual;76.5;68.6;76.9;87.3;;0.768523;76.1;69.1;88.1;74.1;;0.763013;;;;247.66;248.86;3.893.334;;3;;3.2
RO;1100049;Cacoal;11026278;EEEFM CORA CORALINA;Estadual;90;85.2;89.8;95.9;;0.900888;84.6;76.8;86.8;92;;0.847191;270.1;263.45;4.426.916;293.43;283.55;5.055.483;4;4.3;4.2;4.4
RO;1100049;Cacoal;11027290;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;86.3;77.5;84.1;100;;0.862222;;;;;;;311.11;301.71;5.575.653;;;;4.8;;5;5.2
RO;1100049;Cacoal;11027347;EEEFM CLODOALDO NUNES DE ALMEIDA;Estadual;94.7;92.8;95.9;95.9;;0.948439;98.1;96.7;99;98.7;;0.981226;;;;;;;;;;
RO;1100049;Cacoal;11027355;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;86.9;89;73.1;94.7;;0.845654;;;;;;;272.77;252.96;430.738;;;;3.6;;3.9;4.1
RO;1100049;Cacoal;11027401;EEEFM CELSO FERREIRA DA CUNHA;Estadual;76.1;69.4;94.4;76.1;;0.786513;96.3;97;100;90;;0.954794;;;;261.69;270.58;4.415.534;;4.2;;4.4
RO;1100049;Cacoal;11046740;EEEMTI JOSINO BRITO;Estadual;92.8;89;96.8;100;;0.950374;96.4;93.9;99;97.3;;0.966865;;;;288.83;287.6;5.051.505;;4.9;;5.1
RO;1100049;Cacoal;11049723;INSTITUTO EDUCACIONAL SOMA - IES;Privada;100;100;100;100;;1;;;;;;;360.43;333.11;673.841;;;;6.7;;6.9;7
RO;1100049;Cacoal;11109815;IFRO - CAMPUS CACOAL;Federal;97.4;95.7;98.5;100;;0.980341;98.6;96.8;100;99.4;;0.987136;;;;323.53;318.09;5.995.301;;5.9;;6.1
RO;1100056;Cerejeiras;11034998;EEEM TANCREDO DE ALMEIDA NEVES;Estadual;80.2;73;77.2;93.8;;0.80401;90.7;88.3;91.5;95.3;;0.91611;278.11;274.09;4.698.697;288.99;283.11;4.986.536;3.8;4.6;4;4.2
RO;1100064;Colorado do Oeste;11035951;EEEFM MANUEL BANDEIRA;Estadual;76.8;58.7;92;95.8;;0.782396;94;88.5;98;100;;0.952275;;;;273.7;276.12;4.667.148;;4.4;;4.7
RO;1100064;Colorado do Oeste;11035960;EEEFM PAULO DE ASSIS RIBEIRO;Estadual;94;92;94.6;94.8;;0.937825;96.5;95.8;97.1;97.1;;0.966628;;;;276.47;280.58;4.772.819;;4.6;;4.8
RO;1100064;Colorado do Oeste;11037016;IFRO - CAMPUS COLORADO DO OESTE;Federal;92;93.4;95.5;85.4;;0.912202;93.8;96.1;98.8;86.1;;0.933367;298.11;287.51;5.180.494;298.6;283.27;5.123.903;4.7;4.8;4.9;5.1
RO;1100072;Corumbiara;11036125;EEEFM COLINA VERDE;Estadual;;;;;;;100;100;100;100;;1;;;;261.7;240.04;3.958.489;;4;;4.2
RO;1100072;Corumbiara;11036397;EEEFM MARECHAL RONDON;Estadual;97.6;93.8;100;100;;0.978442;;;;;;;;;;;;;;;;
