pais;rede;ano;aprovacao_total;aprovacao_1_ano;aprovacao_2_ano;aprovacao_3_ano;aprovacao_4_ano;aprovacao_5_ano;rendimento;nota_matematica;nota_portugues;nota_media;ideb;meta
Brasil;Total;2005;81,6;89,5;76,2;80,1;84,6;84,8;0,827900619;182,38;172,31;4,577496183;3,8;NA
Brasil;Total;2007;85,8;93,0;81,9;83,3;87,5;87,2;0,864095663;193,48;175,77;4,856644760;4,2;3,9
Brasil;Total;2009;88,5;94,9;86,4;85,1;89,2;89,1;0,888155153;204,30;184,29;5,218419478;4,6;4,2
Brasil;Total;2011;91,2;96,5;91,9;87,1;90,9;90,5;0,912809075;209,63;190,58;5,434679581;5,0;4,6
Brasil;Total;2013;92,7;97,4;95,8;88,5;91,6;91,2;0,927872195;211,21;195,91;5,561824490;5,2;4,9
Brasil;Total;2015;93,2;97,7;96,8;88,5;91,7;92,1;0,932343266;219,30;207,57;5,928503925;5,5;5,2
Brasil;Total;2017;94,0;98,0;97,2;89,5;92,8;93,1;0,940161849;224,10;214,54;6,147006722;5,8;5,5
Brasil;Total;2019;95,1;98,5;97,5;91,4;94,1;94,7;0,951723480;227,88;214,64;6,221051299;5,9;5,7
Brasil;Estadual;2005;85,5;91,7;82,4;84,1;88,6;85,7;0,863752579;181,14;172,20;4,551878119;3,9;NA
Brasil;Estadual;2007;88,0;94,0;86,3;86,2;90,6;86,8;0,886761035;192,95;175,96;4,850024904;4,3;4,0
Brasil;Estadual;2009;91,1;96,2;91,1;88,8;92,2;90,1;0,916120280;207,12;186,22;5,307600765;4,9;4,3
Brasil;Estadual;2011;93,1;97,8;94,3;89,8;93,6;91,6;0,933427024;210,78;191,50;5,473388222;5,1;4,7
Brasil;Estadual;2013;94,7;98,4;97,7;91,5;94,7;92,6;0,949022748;215,24;199,24;5,699401225;5,4;5,0
Brasil;Estadual;2015;94,8;98,5;98,1;90,6;94,6;93,6;0,949882725;223,30;211,19;6,070782693;5,8;5,3
