ano;nome_uf;codigo_uf;sigla_uf;nome_regiao;codigo_regiao;familia;denominacao;quantidade
1995;Paraná;41;PR;Sul;4;Cédulas - 1a. família;50;237
1995;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;50;3
1995;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;100;1
1995;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;100;1
1996;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;50;1
1996;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;100;1
1996;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;50;4
1996;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;100;1
1996;Paraná;41;PR;Sul;4;Cédulas - 1a. família;50;4
1996;Paraná;41;PR;Sul;4;Cédulas - 1a. família;100;12
1996;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;50;2
1996;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;100;1
1996;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;5;2
1996;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;10;6087
1996;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;50;7988
1996;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;100;2311
1996;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;10;1
1996;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;50;2
1996;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;100;2
1996;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;100;2
1997;Amapá;16;AP;Norte;1;Cédulas - 1a. família;100;1
1997;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;5;2
1997;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;10;49
1997;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;50;14
1997;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;100;27
1997;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;10;20
1997;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;50;28
1997;Ceará;23;CE;Nordeste;2;Cédulas - 1a. família;100;1
1997;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;10;19
1997;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;50;22
1997;Distrito Federal;53;DF;Centro-Oeste;5;Cédulas - 1a. família;100;12
1997;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;10;4
1997;Goiás;52;GO;Centro-Oeste;5;Cédulas - 1a. família;50;1
1997;Mato Grosso do Sul;50;MS;Centro-Oeste;5;Cédulas - 1a. família;50;8
1997;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;50;35
1997;Minas Gerais;31;MG;Sudeste;3;Cédulas - 1a. família;100;58
1997;Paraná;41;PR;Sul;4;Cédulas - 1a. família;50;4
1997;Paraná;41;PR;Sul;4;Cédulas - 1a. família;100;1
1997;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;50;8
1997;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;100;4
1997;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;5;180
1997;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;10;16
