ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2003,2003-03-29,08:00,1,Estádio Brinco de Ouro da Princesa,,,,Guarani,Vasco da Gama,,,,,,,,,4,2,,,,,,,,,,,,,,,,
2003,2003-03-29,08:00,1,Arena da Baixada,,,,Atlético-PR,Grêmio,,,,,,,,,2,0,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Jornalista Mário Filho,,,,Flamengo,Coritiba FC,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio de Hailé Pinheiro,,,,Goiás EC,Paysandu SC,,,,,,,,,2,2,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Beira-Rio,,,,Internacional,Ponte Preta,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Heriberto Hülse,,,,Criciúma EC,Fluminense,,,,,,,,,2,0,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Alfredo Jaconi,,,,Juventude,São Paulo,,,,,,,,,2,2,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Governador Plácido Castelo,,,,Fortaleza,EC Bahia,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Governador Magalhães Pinto,,,,Cruzeiro,São Caetano,,,,,,,,,2,2,,,,,,,,,,,,,,,,
2003,2003-03-30,09:00,1,Estádio Manoel Barradas,,,,EC Vitória,Figueirense FC,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-03-30,11:00,1,Estádio Urbano Caldeira,,,,Santos FC,Paraná,,,,,,,,,2,2,,,,,,,,,,,,,,,,
2003,2003-03-30,11:00,1,Neo Química Arena,,,,Corinthians,Atlético-MG,,,,,,,,,0,3,,,,,,,,,,,,,,,,
2003,2003-04-05,09:00,2,Estádio Jornalista Mário Filho,,,,Fluminense,Fortaleza,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-05,09:00,2,Estádio Raimundo Sampaio,,,,Atlético-MG,Santos FC,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2003,2003-04-05,09:00,2,Estádio Major Antônio Couto Pereira,,,,Coritiba FC,Internacional,,,,,,,,,0,1,,,,,,,,,,,,,,,,
2003,2003-04-05,11:00,2,Arena do Grêmio,,,,Grêmio,Guarani,,,,,,,,,3,1,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Arena Fonte Nova,,,,EC Bahia,Flamengo,,,,,,,,,1,2,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Estádio Orlando Scarpelli,,,,Figueirense FC,Corinthians,,,,,,,,,3,3,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Estádio Estadual Jornalista Edgar Augusto Proença,,,,Paysandu SC,EC Vitória,,,,,,,,,1,2,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Estádio Moisés Lucarelli,,,,Ponte Preta,Juventude,,,,,,,,,1,0,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Estádio Durival Britto e Silva,,,,Paraná,Atlético-PR,,,,,,,,,3,0,,,,,,,,,,,,,,,,
2003,2003-04-06,09:00,2,Estádio Municipal Anacleto Campanella,,,,São Caetano,Criciúma EC,,,,,,,,,3,2,,,,,,,,,,,,,,,,
2003,2003-04-06,11:00,2,Estádio Cícero Pompeu de Toledo,,,,São Paulo,Cruzeiro,,,,,,,,,2,4,,,,,,,,,,,,,,,,
2003,2003-04-06,11:00,2,Estádio São Januário,,,,Vasco da Gama,Goiás EC,,,,,,,,,6,4,,,,,,,,,,,,,,,,
2003,2003-04-12,09:00,3,Estádio Beira-Rio,,,,Internacional,EC Bahia,,,,,,,,,2,0,,,,,,,,,,,,,,,,
2003,2003-04-12,09:00,3,Estádio Urbano Caldeira,,,,Santos FC,Figueirense FC,,,,,,,,,2,0,,,,,,,,,,,,,,,,
2003,2003-04-12,09:00,3,Arena da Baixada,,,,Atlético-PR,Atlético-MG,,,,,,,,,1,2,,,,,,,,,,,,,,,,
2003,2003-04-12,11:00,3,Neo Química Arena,,,,Corinthians,Paysandu SC,,,,,,,,,6,1,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio Manoel Barradas,,,,EC Vitória,Vasco da Gama,,,,,,,,,2,1,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio Heriberto Hülse,,,,Criciúma EC,São Paulo,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio Governador Plácido Castelo,,,,Fortaleza,São Caetano,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio Alfredo Jaconi,,,,Juventude,Coritiba FC,,,,,,,,,2,1,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio Brinco de Ouro da Princesa,,,,Guarani,Paraná,,,,,,,,,2,0,,,,,,,,,,,,,,,,
2003,2003-04-13,09:00,3,Estádio de Hailé Pinheiro,,,,Goiás EC,Grêmio,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-13,11:00,3,Estádio Governador Magalhães Pinto,,,,Cruzeiro,Ponte Preta,,,,,,,,,3,0,,,,,,,,,,,,,,,,
2003,2003-04-13,11:00,3,Estádio Jornalista Mário Filho,,,,Flamengo,Fluminense,,,,,,,,,4,1,,,,,,,,,,,,,,,,
2003,2003-04-10,02:40,4,Estádio Estadual Jornalista Edgar Augusto Proença,,,,Paysandu SC,Santos FC,,,,,,,,,2,1,,,,,,,,,,,,,,,,
2003,2003-04-17,01:30,4,Arena Fonte Nova,,,,EC Bahia,Juventude,,,,,,,,,3,1,,,,,,,,,,,,,,,,
2003,2003-04-17,01:30,4,Arena do Grêmio,,,,Grêmio,EC Vitória,,,,,,,,,2,1,,,,,,,,,,,,,,,,
2003,2003-04-17,01:30,4,Estádio Raimundo Sampaio,,,,Atlético-MG,Guarani,,,,,,,,,3,2,,,,,,,,,,,,,,,,
2003,2003-04-17,01:30,4,Estádio Orlando Scarpelli,,,,Figueirense FC,Atlético-PR,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-17,01:30,4,Estádio Moisés Lucarelli,,,,Ponte Preta,Criciúma EC,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-17,02:40,4,Estádio Municipal Anacleto Campanella,,,,São Caetano,Flamengo,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2003,2003-04-17,02:40,4,Estádio São Januário,,,,Vasco da Gama,Corinthians,,,,,,,,,2,2,,,,,,,,,,,,,,,,
2003,2003-04-17,02:40,4,Estádio Major Antônio Couto Pereira,,,,Coritiba FC,Cruzeiro,,,,,,,,,3,4,,,,,,,,,,,,,,,,
2003,2003-04-18,01:30,4,Estádio Jornalista Mário Filho,,,,Fluminense,Internacional,,,,,,,,,3,1,,,,,,,,,,,,,,,,
2003,2003-04-18,01:30,4,Estádio Cícero Pompeu de Toledo,,,,São Paulo,Fortaleza,,,,,,,,,3,1,,,,,,,,,,,,,,,,
2003,2003-04-18,01:30,4,Estádio Durival Britto e Silva,,,,Paraná,Goiás EC,,,,,,,,,3,1,,,,,,,,,,,,,,,,
2003,2003-04-19,09:00,5,Arena Fonte Nova,,,,EC Bahia,Atlético-MG,,,,,,,,,2,4,,,,,,,,,,,,,,,,
2003,2003-04-19,09:00,5,Estádio Municipal Anacleto Campanella,,,,São Caetano,Grêmio,,,,,,,,,1,1,,,,,,,,,,,,,,,,
