epi_week;date;country;state;newDeaths;deaths;newCases;totalCases;deathsMS;totalCasesMS;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;recovered;suspects;tests;tests_per_100k_inhabitants;vaccinated;vaccinated_per_100_inhabitants;vaccinated_second;vaccinated_second_per_100_inhabitants;vaccinated_single;vaccinated_single_per_100_inhabitants;vaccinated_third;vaccinated_third_per_100_inhabitants
9;25/02/2020;Brazil;SP;0;0;1;1;0;0;0.00000;0.00218;0.00000;;;;;;;;;;;;
9;25/02/2020;Brazil;TOTAL;0;0;1;1;0;0;0.00000;0.00047;0.00000;;;;;;;;;;;;
9;26/02/2020;Brazil;SP;0;0;0;1;0;1;0.00000;0.00218;0.00000;;;;;;;;;;;;
9;26/02/2020;Brazil;TOTAL;0;0;0;1;0;1;0.00000;0.00047;0.00000;;;;;;;;;;;;
9;27/02/2020;Brazil;SP;0;0;0;1;0;1;0.00000;0.00218;0.00000;;;;;;;;;;;;
9;27/02/2020;Brazil;TOTAL;0;0;0;1;0;1;0.00000;0.00047;0.00000;;;;;;;;;;;;
9;28/02/2020;Brazil;SP;0;0;1;2;0;1;0.00000;0.00436;0.00000;;;;;;;;;;;;
9;28/02/2020;Brazil;TOTAL;0;0;1;2;0;1;0.00000;0.00094;0.00000;;;;;;;;;;;;
9;29/02/2020;Brazil;SP;0;0;0;2;0;2;0.00000;0.00436;0.00000;;;;;;;;;;;;
9;29/02/2020;Brazil;TOTAL;0;0;0;2;0;2;0.00000;0.00094;0.00000;;;;;;;;;;;;
10;01/03/2020;Brazil;SP;0;0;0;2;0;2;0.00000;0.00436;0.00000;;;;;;;;;;;;
10;01/03/2020;Brazil;TOTAL;0;0;0;2;0;2;0.00000;0.00094;0.00000;;;;;;;;;;;;
10;02/03/2020;Brazil;SP;0;0;0;2;0;2;0.00000;0.00436;0.00000;;;;;;;;;;;;
10;02/03/2020;Brazil;TOTAL;0;0;0;2;0;2;0.00000;0.00094;0.00000;;;;;;;;;;;;
10;03/03/2020;Brazil;SP;0;0;0;2;0;2;0.00000;0.00436;0.00000;;;;;;;;;;;;
10;03/03/2020;Brazil;TOTAL;0;0;0;2;0;2;0.00000;0.00094;0.00000;;;;;;;;;;;;
10;04/03/2020;Brazil;SP;0;0;1;3;0;3;0.00000;0.00653;0.00000;;;;;;;;;;;;
10;04/03/2020;Brazil;TOTAL;0;0;1;3;0;3;0.00000;0.00141;0.00000;;;;;;;;;;;;
10;05/03/2020;Brazil;RJ;0;0;1;1;0;1;0.00000;0.00579;0.00000;;;;;;;;;;;;
10;05/03/2020;Brazil;SP;0;0;3;6;0;6;0.00000;0.01307;0.00000;;;;;;;;;;;;
10;05/03/2020;Brazil;TOTAL;0;0;4;7;0;7;0.00000;0.00328;0.00000;;;;;;;;;;;;
10;06/03/2020;Brazil;BA;0;0;1;1;0;1;0.00000;0.00672;0.00000;;;;;;;;;;;;
10;06/03/2020;Brazil;ES;0;0;1;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
10;06/03/2020;Brazil;RJ;0;0;1;2;0;1;0.00000;0.01158;0.00000;;;;;;;;;;;;
10;06/03/2020;Brazil;SP;0;0;4;10;0;10;0.00000;0.02178;0.00000;;;;;;;;;;;;
10;06/03/2020;Brazil;TOTAL;0;0;7;14;0;13;0.00000;0.00656;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;BA;0;0;1;2;0;2;0.00000;0.01345;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;DF;0;0;1;1;0;1;0.00000;0.03316;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;RJ;0;0;0;2;0;2;0.00000;0.01158;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;SP;0;0;3;13;0;13;0.00000;0.02831;0.00000;;;;;;;;;;;;
10;07/03/2020;Brazil;TOTAL;0;0;5;19;0;19;0.00000;0.00891;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;AL;0;0;1;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;BA;0;0;0;2;0;2;0.00000;0.01345;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;DF;0;0;0;1;0;1;0.00000;0.03316;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;MG;0;0;1;1;0;1;0.00000;0.00472;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;RJ;0;0;1;3;0;3;0.00000;0.01738;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;SP;0;0;3;16;0;16;0.00000;0.03484;0.00000;;;;;;;;;;;;
11;08/03/2020;Brazil;TOTAL;0;0;6;25;0;25;0.00000;0.01172;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;BA;0;0;0;2;0;2;0.00000;0.01345;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;DF;0;0;0;1;0;1;0.00000;0.03316;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;MG;0;0;0;1;0;1;0.00000;0.00472;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;RJ;0;0;0;3;0;3;0.00000;0.01738;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;SP;0;0;0;16;0;16;0.00000;0.03484;0.00000;;;;;;;;;;;;
11;09/03/2020;Brazil;TOTAL;0;0;0;25;0;25;0.00000;0.01172;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;BA;0;0;0;2;0;2;0.00000;0.01345;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;DF;0;0;0;1;0;1;0.00000;0.03316;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;MG;0;0;0;1;0;1;0.00000;0.00472;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;RJ;0;0;5;8;0;8;0.00000;0.04634;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;RS;0;0;1;1;0;1;0.00000;0.00879;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;SP;0;0;3;19;0;19;0.00000;0.04138;0.00000;;;;;;;;;;;;
11;10/03/2020;Brazil;TOTAL;0;0;9;34;0;34;0.00000;0.01594;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;BA;0;0;1;3;0;2;0.00000;0.02017;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;DF;0;0;1;2;0;2;0.00000;0.06633;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;MG;0;0;0;1;0;1;0.00000;0.00472;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;RJ;0;0;5;13;0;13;0.00000;0.07530;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;RS;0;0;1;2;0;2;0.00000;0.01758;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;SP;0;0;11;30;0;30;0.00000;0.06533;0.00000;;;;;;;;;;;;
11;11/03/2020;Brazil;TOTAL;0;0;19;53;0;52;0.00000;0.02485;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;BA;0;0;0;3;0;2;0.00000;0.02017;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;DF;0;0;0;2;0;2;0.00000;0.06633;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;GO;0;0;3;3;0;0;0.00000;0.04275;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;MG;0;0;1;2;0;1;0.00000;0.00945;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;PE;0;0;2;2;0;2;0.00000;0.02093;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;PR;0;0;6;6;0;6;0.00000;0.05248;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;RJ;0;0;3;16;0;16;0.00000;0.09267;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;RN;0;0;1;1;0;0;0.00000;0.02852;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;RS;0;0;2;4;0;4;0.00000;0.03516;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;SC;0;0;2;2;0;0;0.00000;0.02791;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;SP;0;0;16;46;0;42;0.00000;0.10018;0.00000;;;;;;;;;;;;
11;12/03/2020;Brazil;TOTAL;0;0;36;89;0;77;0.00000;0.04172;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;AM;0;0;2;2;0;0;0.00000;0.04826;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;BA;0;0;4;7;0;2;0.00000;0.04706;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;DF;0;0;0;2;0;2;0.00000;0.06633;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;GO;0;0;0;3;0;3;0.00000;0.04275;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;MG;0;0;0;2;0;2;0.00000;0.00945;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;PE;0;0;0;2;0;2;0.00000;0.02093;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;PR;0;0;0;6;0;6;0.00000;0.05248;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;RJ;0;0;0;16;0;16;0.00000;0.09267;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;RS;0;0;0;4;0;4;0.00000;0.03516;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;SC;0;0;1;3;0;2;0.00000;0.04187;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;SP;0;0;10;56;0;56;0.00000;0.12195;0.00000;;;;;;;;;;;;
11;13/03/2020;Brazil;TOTAL;0;0;17;106;0;98;0.00000;0.04969;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;AM;0;0;0;2;0;0;0.00000;0.04826;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;BA;0;0;0;7;0;2;0.00000;0.04706;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;DF;0;0;6;8;0;6;0.00000;0.26532;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;GO;0;0;1;4;0;3;0.00000;0.05699;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;MG;0;0;2;4;0;2;0.00000;0.01890;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;MS;0;0;2;2;0;0;0.00000;0.07197;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;PE;0;0;5;7;0;2;0.00000;0.07324;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;PR;0;0;0;6;0;6;0.00000;0.05248;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;RJ;0;0;6;22;0;22;0.00000;0.12743;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;RS;0;0;2;6;0;6;0.00000;0.05274;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;SC;0;0;2;5;0;4;0.00000;0.06979;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;SE;0;0;1;1;0;0;0.00000;0.04350;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;SP;0;0;9;65;0;65;0.00000;0.14155;0.00000;;;;;;;;;;;;
11;14/03/2020;Brazil;TOTAL;0;0;36;142;0;121;0.00000;0.06657;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;AM;0;0;0;2;0;1;0.00000;0.04826;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;BA;0;0;2;9;0;2;0.00000;0.06051;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;DF;0;0;6;14;0;8;0.00000;0.46430;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;GO;0;0;0;4;0;3;0.00000;0.05699;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;MG;0;0;0;4;0;2;0.00000;0.01890;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;MS;0;0;0;2;0;0;0.00000;0.07197;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;PE;0;0;1;8;0;2;0.00000;0.08371;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;PR;0;0;0;6;0;6;0.00000;0.05248;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;RJ;0;0;2;24;0;24;0.00000;0.13901;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;RS;0;0;0;6;0;6;0.00000;0.05274;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;SC;0;0;1;6;0;6;0.00000;0.08374;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;SE;0;0;0;1;0;1;0.00000;0.04350;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;SP;0;0;71;136;0;136;0.00000;0.29617;0.00000;;;;;;;;;;;;
12;15/03/2020;Brazil;TOTAL;0;0;83;225;0;200;0.00000;0.10548;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;AM;0;0;0;2;0;1;0.00000;0.04826;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;BA;0;0;1;10;0;2;0.00000;0.06724;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;CE;0;0;9;9;0;0;0.00000;0.09855;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;DF;0;0;5;19;0;13;0.00000;0.63013;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;GO;0;0;5;9;0;3;0.00000;0.12824;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;MG;0;0;2;6;0;5;0.00000;0.02834;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;MS;0;0;2;4;0;2;0.00000;0.14394;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;PE;0;0;0;8;0;2;0.00000;0.08371;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;PR;0;0;0;6;0;6;0.00000;0.05248;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;RJ;0;0;7;31;0;31;0.00000;0.17955;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;RN;0;0;0;1;0;1;0.00000;0.02852;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;RS;0;0;2;8;0;6;0.00000;0.07032;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SC;0;0;1;7;0;7;0.00000;0.09770;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SE;0;0;4;5;0;1;0.00000;0.21751;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;SP;0;0;16;152;0;152;0.00000;0.33102;0.00000;;;;;;;;;;;;
12;16/03/2020;Brazil;TOTAL;0;0;54;279;0;234;0.00000;0.13079;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AC;0;0;3;3;0;0;0.00000;0.34016;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AL;0;0;0;1;0;1;0.00000;0.02996;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;AM;0;0;0;2;0;1;0.00000;0.04826;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;BA;0;0;4;14;0;3;0.00000;0.09413;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;CE;0;0;1;10;0;5;0.00000;0.10950;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;DF;0;0;3;22;0;22;0.00000;0.72962;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;ES;0;0;0;1;0;1;0.00000;0.02488;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;GO;0;0;1;10;0;6;0.00000;0.14248;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;MG;0;0;8;14;0;7;0.00000;0.06614;0.00000;;;;;;;;;;;;
12;17/03/2020;Brazil;MS;0;0;2;6;0;4;0.00000;0.21591;0.00000;;;;;;;;;;;;
