Criptomoeda;Iniciais;Data;Abertura;Fechamento;Alta;Baixa;Fechamento_ajustado;Volume
Bitcoin USD;BTC-USD;17/09/2014;465.864014;468.174011;452.421997;457.334015;457.334015;21056800
Bitcoin USD;BTC-USD;18/09/2014;456.859985;456.859985;413.104004;424.440002;424.440002;34483200
Bitcoin USD;BTC-USD;19/09/2014;424.102997;427.834991;384.532013;394.795990;394.795990;37919700
Bitcoin USD;BTC-USD;20/09/2014;394.673004;423.295990;389.882996;408.903992;408.903992;36863600
Bitcoin USD;BTC-USD;21/09/2014;408.084991;412.425995;393.181000;398.821014;398.821014;26580100
Bitcoin USD;BTC-USD;22/09/2014;399.100006;406.915985;397.130005;402.152008;402.152008;24127600
Bitcoin USD;BTC-USD;23/09/2014;402.092010;441.557007;396.196991;435.790985;435.790985;45099500
Bitcoin USD;BTC-USD;24/09/2014;435.751007;436.112000;421.131989;423.204987;423.204987;30627700
Bitcoin USD;BTC-USD;25/09/2014;423.156006;423.519989;409.467987;411.574005;411.574005;26814400
Bitcoin USD;BTC-USD;26/09/2014;411.428986;414.937988;400.009003;404.424988;404.424988;21460800
Bitcoin USD;BTC-USD;27/09/2014;403.556000;406.622986;397.372009;399.519989;399.519989;15029300
Bitcoin USD;BTC-USD;28/09/2014;399.471008;401.016998;374.332001;377.181000;377.181000;23613300
Bitcoin USD;BTC-USD;29/09/2014;376.928009;385.210999;372.239990;375.467010;375.467010;32497700
Bitcoin USD;BTC-USD;30/09/2014;376.088013;390.976990;373.442993;386.944000;386.944000;34707300
Bitcoin USD;BTC-USD;01/10/2014;387.427002;391.378998;380.779999;383.614990;383.614990;26229400
Bitcoin USD;BTC-USD;02/10/2014;383.988007;385.497009;372.946014;375.071991;375.071991;21777700
Bitcoin USD;BTC-USD;03/10/2014;375.181000;377.695007;357.859009;359.511993;359.511993;30901200
Bitcoin USD;BTC-USD;04/10/2014;359.891998;364.487000;325.885986;328.865997;328.865997;47236500
Bitcoin USD;BTC-USD;05/10/2014;328.915985;341.800995;289.295990;320.510010;320.510010;83308096
Bitcoin USD;BTC-USD;06/10/2014;320.389008;345.134003;302.559998;330.079010;330.079010;79011800
Bitcoin USD;BTC-USD;07/10/2014;330.584015;339.247009;320.481995;336.187012;336.187012;49199900
Bitcoin USD;BTC-USD;08/10/2014;336.115997;354.364014;327.187988;352.940002;352.940002;54736300
Bitcoin USD;BTC-USD;09/10/2014;352.747986;382.726013;347.687012;365.026001;365.026001;83641104
Bitcoin USD;BTC-USD;10/10/2014;364.687012;375.066986;352.963013;361.562012;361.562012;43665700
Bitcoin USD;BTC-USD;11/10/2014;361.362000;367.191010;355.950989;362.299011;362.299011;13345200
Bitcoin USD;BTC-USD;12/10/2014;362.605988;379.433014;356.144012;378.549011;378.549011;17552800
Bitcoin USD;BTC-USD;13/10/2014;377.920990;397.226013;368.897003;390.414001;390.414001;35221400
Bitcoin USD;BTC-USD;14/10/2014;391.691986;411.697998;391.324005;400.869995;400.869995;38491500
Bitcoin USD;BTC-USD;15/10/2014;400.954987;402.226990;388.765991;394.773010;394.773010;25267100
Bitcoin USD;BTC-USD;16/10/2014;394.518005;398.807007;373.070007;382.556000;382.556000;26990000
Bitcoin USD;BTC-USD;17/10/2014;382.756012;385.477997;375.389008;383.757996;383.757996;13600700
Bitcoin USD;BTC-USD;18/10/2014;383.976013;395.157990;378.971008;391.441986;391.441986;11416800
Bitcoin USD;BTC-USD;19/10/2014;391.253998;393.938995;386.457001;389.545990;389.545990;5914570
Bitcoin USD;BTC-USD;20/10/2014;389.230988;390.084015;378.252014;382.845001;382.845001;16419000
Bitcoin USD;BTC-USD;21/10/2014;382.420990;392.645996;380.834015;386.475006;386.475006;14188900
Bitcoin USD;BTC-USD;22/10/2014;386.118011;388.575989;382.248993;383.157990;383.157990;11641300
Bitcoin USD;BTC-USD;23/10/2014;382.962006;385.048004;356.446991;358.416992;358.416992;26456900
Bitcoin USD;BTC-USD;24/10/2014;358.591003;364.345001;353.304993;358.345001;358.345001;15585700
Bitcoin USD;BTC-USD;25/10/2014;358.610992;359.860992;342.877014;347.270996;347.270996;18127500
Bitcoin USD;BTC-USD;26/10/2014;347.487000;359.221008;343.931000;354.704010;354.704010;11272500
Bitcoin USD;BTC-USD;27/10/2014;354.777008;358.631989;349.808990;352.989014;352.989014;13033000
Bitcoin USD;BTC-USD;28/10/2014;353.214996;359.984009;352.678986;357.618011;357.618011;7845880
Bitcoin USD;BTC-USD;29/10/2014;357.088989;357.833008;335.342987;335.591003;335.591003;18192700
Bitcoin USD;BTC-USD;30/10/2014;335.709015;350.912994;335.071991;345.304993;345.304993;30177900
Bitcoin USD;BTC-USD;31/10/2014;345.009003;348.045013;337.141998;338.321014;338.321014;12545400
Bitcoin USD;BTC-USD;01/11/2014;338.649994;340.528992;321.054993;325.748993;325.748993;16677200
Bitcoin USD;BTC-USD;02/11/2014;326.075012;329.049988;320.626007;325.891998;325.891998;8603620
Bitcoin USD;BTC-USD;03/11/2014;325.569000;334.002014;325.480988;327.553986;327.553986;12948500
Bitcoin USD;BTC-USD;04/11/2014;327.161011;331.766998;325.076996;330.492004;330.492004;15655500
Bitcoin USD;BTC-USD;05/11/2014;330.683014;343.368988;330.683014;339.485992;339.485992;19817200
Bitcoin USD;BTC-USD;06/11/2014;339.458008;352.966003;338.424011;349.290009;349.290009;18797000
Bitcoin USD;BTC-USD;07/11/2014;349.817993;352.731995;341.776001;342.415009;342.415009;16834200
Bitcoin USD;BTC-USD;08/11/2014;342.153992;347.032013;342.153992;345.488007;345.488007;8535470
Bitcoin USD;BTC-USD;09/11/2014;345.376007;363.626007;344.255005;363.264008;363.264008;24205600
Bitcoin USD;BTC-USD;10/11/2014;362.265015;374.816010;357.561005;366.924011;366.924011;30450100
Bitcoin USD;BTC-USD;11/11/2014;365.856995;371.309998;363.734985;367.695007;367.695007;15838900
Bitcoin USD;BTC-USD;12/11/2014;367.984985;429.717987;367.984985;423.561005;423.561005;45783200
Bitcoin USD;BTC-USD;13/11/2014;427.273010;457.092987;401.122986;420.734985;420.734985;58945000
Bitcoin USD;BTC-USD;14/11/2014;418.416992;419.252014;384.789001;397.817993;397.817993;29589200
Bitcoin USD;BTC-USD;15/11/2014;399.649994;405.528015;371.007996;376.132996;376.132996;15727500
Bitcoin USD;BTC-USD;16/11/2014;374.730011;390.799011;374.601990;387.881989;387.881989;11905600
Bitcoin USD;BTC-USD;17/11/2014;388.348999;410.199005;377.502014;387.407990;387.407990;41518800
Bitcoin USD;BTC-USD;18/11/2014;387.785004;392.402008;371.117004;375.197998;375.197998;32222500
Bitcoin USD;BTC-USD;19/11/2014;373.895996;386.480988;373.895996;380.554993;380.554993;18931800
Bitcoin USD;BTC-USD;20/11/2014;380.307007;382.024994;356.781006;357.839996;357.839996;25233200
Bitcoin USD;BTC-USD;21/11/2014;357.878998;357.878998;344.112000;350.847992;350.847992;29850100
Bitcoin USD;BTC-USD;22/11/2014;351.604004;364.841003;350.877991;352.920013;352.920013;15273000
