"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"DC";27;280000624085;NA;"nao eleito";41710
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"MDB";15;280000622281;897799;"nao eleito";1288950
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"NOVO";30;280000607640;1494256;"nao eleito";2679745
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PATRIOTA";51;280000602500;767512;"nao eleito";1348323
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PDT";12;280000605589;616370;"nao eleito";13344371
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PODE";19;280000618462;20237;"nao eleito";859601
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PPL";54;280000624082;859244;"nao eleito";30176
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PSDB";45;280000602477;1310091;"nao eleito";5096350
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PSL";17;280000614517;1191980;"2º turno";49277010
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PSOL";50;280000601016;817546;"nao eleito";617122
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PSTU";16;280000601173;1012696;"nao eleito";55762
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"PT";13;280000629808;354724;"2º turno";31342051
2018;1;"eleicao ordinaria";"";NA;NA;"presidente";"REDE";18;280000622171;615672;"nao eleito";1069578
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23149;10000610682;60194;"suplente";29
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23100;10000610683;1209598;"suplente";101
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23333;10000610685;1359461;"suplente";65
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23456;10000610686;825540;"suplente";797
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23444;10000610687;1606940;"suplente";351
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23222;10000610688;1103274;"suplente";209
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23000;10000610689;1387214;"suplente";486
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23123;10000610690;24415;"suplente";2851
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23111;10000610691;1421236;"suplente";389
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23555;10000610692;1165892;"suplente";1
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23999;10000610695;1054344;"suplente";29
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"CIDADANIA";23110;10000610696;676522;"suplente";32
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27999;10000607153;398870;"nao eleito";93
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27385;10000607154;131515;"nao eleito";16
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27800;10000607155;120860;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27122;10000607156;1463958;"nao eleito";104
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27131;10000607157;712109;"nao eleito";6
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27444;10000607158;72528;"nao eleito";89
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27327;10000607159;1718364;"nao eleito";3
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27012;10000607160;1226106;"nao eleito";240
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27007;10000607161;1612898;"nao eleito";500
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27111;10000607162;1262949;"nao eleito";1400
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"DC";27555;10000607164;1296740;"nao eleito";90
