Bairro;OBJECTID;ID_BAIRRO;QUANTIDADE_SETORES;POP_TOTAL_RESIDENTE;DENSIDADE_DEMOGRAFICA_HAB_HA;DOM_TOTAL;DOM_TOTAL_PART_PERMANENTES;DOM_PART_PERMANENTES;RESP_RENDA_MEDIA;SUBPREFEITURAS
Pituaçu;18;1;17;14881;25;4801;4791;99,8;1298;4
Patamares;3;2;12;6156;13;1902;1902;100,0;6384;4
Piatã;13;3;14;11441;19;3333;3292;98,8;5555;4
Boca do Rio;175;4;54;48032;179;15728;15686;99,7;1161;4
Jardim Armação;231;5;5;3025;29;1168;1159;99,2;4130;6
Lapinha;236;6;8;5004;153;1622;1571;96,9;1252;9
Nazaré;263;7;19;12571;113;4332;4152;95,8;2070;1
Centro;242;8;32;15695;184;6538;6373;97,5;2260;1
Tororó;109;9;7;4717;107;1612;1525;94,6;1649;1
Barris;168;10;9;4845;109;1765;1658;93,9;2234;1
Garcia;215;11;20;14180;179;4793;4686;97,8;2162;1
Macaúbas;252;12;11;8556;288;2740;2736;99,9;994;1
Barbalho;163;13;15;9227;176;2974;2944;99,0;1762;1
Saúde;106;14;10;6232;219;2309;2066;89,5;1770;1
Centro Histórico;246;15;6;2253;58;825;729;88,4;1064;1
Santo Antônio;95;16;7;4170;126;1368;1326;96,9;1208;1
Comércio;201;17;3;1345;10;406;401;98,8;940;1
Vitória;119;18;9;5225;164;1914;1904;99,5;7017;6
Ondina;270;19;36;20298;98;7430;7200;96,9;4979;6
Canela;153;20;10;5339;146;2010;2006;99,8;4838;6
Alto das Pombas;155;21;5;3823;285;1235;1235;100,0;726;6
Barra;166;22;36;17298;128;6875;6859;99,8;4432;6
Graça;216;23;34;18454;215;6663;6648;99,8;5381;6
Amaralina;157;24;7;4125;87;1674;1655;98,9;2487;6
Nordeste de Amaralina;264;25;30;21887;341;6850;6842;99,9;1059;6
Vale das Pedrinhas;110;26;9;5162;331;1633;1633;100,0;895;6
Chapada do Rio Vermelho;247;27;26;21955;359;6831;6829;100,0;641;6
Santa Cruz;90;28;40;27083;451;8462;8461;100,0;824;6
Pituba;21;29;103;65160;147;23397;23383;99,9;5201;6
Costa Azul;199;30;32;20204;193;7111;7110;100,0;3973;6
Itaigara;224;31;18;10874;87;3537;3499;98,9;7255;6
Caminho das Árvores;192;32;19;12323;60;4219;4186;99,2;6353;6
STIEP;100;33;23;13646;110;4722;4721;100,0;3711;6
Aeroporto;151;34;1;;;;;0,0;;4
Jardim das Margaridas;233;35;4;4592;20;1486;1399;94,1;1711;4
Areia Branca;158;36;9;2594;9;757;749;98,9;180;4
Cassange;241;37;10;4633;3;1386;1383;99,8;387;4
Trobogy;111;38;14;7158;20;2589;2587;99,9;1715;8
Nova Brasília;262;39;23;16716;57;5478;5466;99,8;969;8
Canabrava;196;40;19;13664;56;4444;4427;99,6;1286;8
Jardim Nova Esperança;234;41;19;14008;112;4567;4452;97,5;881;8
Novo Marotinho;269;42;7;4238;177;1511;1508;99,8;1222;8
Sete de Abril;97;43;22;18215;116;5740;5695;99,2;569;8
Castelo Branco;225;44;45;33510;147;10656;10274;96,4;770;3
Vila Canária;115;45;12;11218;125;3667;3665;99,9;736;8
Jardim Cajazeiras;232;46;10;7572;110;2342;2334;99,7;623;8
Imbuí;221;47;45;26540;106;9168;9167;100,0;2947;4
Alto do Coqueirinho;132;48;12;11145;239;3445;3439;99,8;794;4
Bairro da Paz;161;49;26;19407;139;6067;6043;99,6;537;4
Itapuã;226;50;79;66961;68;21595;21480;99,5;1649;4
Stella Maris;107;51;28;20641;38;6904;6884;99,7;3309;4
Mussurunga;260;52;39;30838;63;9508;9497;99,9;915;4
São Cristóvão;98;53;61;53906;127;17050;17015;99,8;721;4
Itinga;227;54;17;11951;35;3736;3671;98,3;592;4
Nova Esperança;266;55;9;6732;6;1998;1971;98,6;679;4
Vale dos Lagos;114;56;19;12860;123;4557;4515;99,1;1555;8
Novo Horizonte;268;57;12;12952;128;4050;4030;99,5;828;7
Nova Sussuarana;267;58;15;12206;250;3630;3627;99,9;598;7
Sussuarana;108;59;36;28809;186;9220;9189;99,7;606;7
Granjas Rurais Presidente Vargas;217;60;6;1998;13;619;618;99,8;838;7
Calabetão;187;61;12;7298;124;2202;2196;99,7;495;7
Jardim Santo Inácio;235;62;11;8670;233;2698;2696;99,9;804;7
Mata Escura;257;63;35;32349;117;12064;9789;81,1;723;7
Arraial do Retiro;160;64;9;8938;155;2845;2843;99,9;748;7
Barreiras;167;65;22;17960;197;5749;5749;100,0;949;7
Pau da Lima;4;66;30;24693;216;8033;8029;100,0;698;8
Fazenda Grande II;213;67;20;18159;86;5936;5901;99,4;905;3
São Marcos;102;68;37;28591;270;8879;8877;100,0;581;8
São Rafael;103;69;36;25790;135;8974;8971;100,0;1431;8
Baixa de Quintas;162;70;3;2135;87;712;712;100,0;997;9
Caixa D´Água;165;71;31;22446;280;7109;7103;99,9;1062;9
Liberdade;240;72;55;41802;345;13001;12981;99,8;857;9
Pero Vaz;11;73;30;22054;483;6789;6782;99,9;673;9
Curuzu;203;74;22;16681;433;5202;5199;99,9;715;9
