UF;Regiao;Ano;Tx_Analfabetismo;Computador_Acesso_Internet_no_Domicilio;Populacao
Rondônia;Norte;2003;10,42;6,7;1005438
Acre;Norte;2003;19,03;8,24;432567
Amazonas;Norte;2003;10,57;5,62;2382407
Roraima;Norte;2003;13,7;6,54;292102
Pará;Norte;2003;14,48;4,57;4570132
Amapá;Norte;2003;13,62;4,23;502386
Tocantins;Norte;2003;20,43;2,82;1267220
Maranhão;Nordeste;2003;26,16;2,97;6078931
Piauí;Nordeste;2003;30,08;2,63;2985964
Ceará;Nordeste;2003;24,39;4,2;7963648
Rio Grande do Norte;Nordeste;2003;24,87;5,28;2986429
Paraíba;Nordeste;2003;24,7;4,44;3587392
Pernambuco;Nordeste;2003;24,09;5,3;8418628
Alagoas;Nordeste;2003;32,11;4,34;3023498
Sergipe;Nordeste;2003;20,22;6,28;1927694
Bahia;Nordeste;2003;22,29;4,7;13978205
Minas Gerais;Sudeste;2003;12,78;8,59;18883162
Espírito Santo;Sudeste;2003;12,62;11,36;3359749
Rio de Janeiro;Sudeste;2003;6,4;15,99;15267351
São Paulo;Sudeste;2003;7,47;19,05;39446312
Paraná;Sul;2003;9,36;13,33;10040658
Santa Catarina;Sul;2003;6,94;15,08;5733978
Rio Grande do Sul;Sul;2003;8,13;11,92;10561745
Mato Grosso do Sul;Centro-Oeste;2003;11,17;9,08;2245741
Mato Grosso;Centro-Oeste;2003;12,22;8,08;2725438
Goiás;Centro-Oeste;2003;12,38;6,93;5450453
Distrito Federal;Centro-Oeste;2003;6,87;25,09;2243121
Rondônia;Norte;2004;11,72;5,25;1521085
Acre;Norte;2004;20,96;4,57;650932
Amazonas;Norte;2004;13,02;4,89;3189386
Roraima;Norte;2004;13,67;4,27;395180
Pará;Norte;2004;19,5;3,41;6940949
Amapá;Norte;2004;11,7;5,2;582580
Tocantins;Norte;2004;20,08;4,1;1291131
Maranhão;Nordeste;2004;26,3;2,7;6164441
Piauí;Nordeste;2004;29,01;4,04;3014746
Ceará;Nordeste;2004;23;4,47;8064318
Rio Grande do Norte;Nordeste;2004;24,52;5,93;3030015
Paraíba;Nordeste;2004;26,43;5,23;3623004
Pernambuco;Nordeste;2004;23,47;5,84;8507549
Alagoas;Nordeste;2004;31,07;4,36;3058822
Sergipe;Nordeste;2004;21,21;6,68;1957924
Bahia;Nordeste;2004;21,79;5,24;14109170
Minas Gerais;Sudeste;2004;11,72;10,03;19085796
Espírito Santo;Sudeste;2004;11,88;12,53;3410657
Rio de Janeiro;Sudeste;2004;6,76;17,34;15397766
São Paulo;Sudeste;2004;7,59;19,97;39923892
Paraná;Sul;2004;9,18;15,71;10148951
Santa Catarina;Sul;2004;6,77;16,06;5822688
Rio Grande do Sul;Sul;2004;7,73;13,75;10640082
Mato Grosso do Sul;Centro-Oeste;2004;11,03;8,72;2282067
Mato Grosso;Centro-Oeste;2004;12,02;6,95;2775131
Goiás;Centro-Oeste;2004;12,3;7,74;5560609
Distrito Federal;Centro-Oeste;2004;6,51;27,62;2290382
Rondônia;Norte;2005;11,33;4,71;1547624
Acre;Norte;2005;24,68;5,51;665579
Amazonas;Norte;2005;10,11;4,6;3262743
Roraima;Norte;2005;13,68;4,86;407547
Pará;Norte;2005;18,51;3,58;7067121
Amapá;Norte;2005;11,8;7,4;601249
Tocantins;Norte;2005;18,77;4,61;1314538
Maranhão;Nordeste;2005;26,02;2,06;6247112
Piauí;Nordeste;2005;28,78;4,32;3041447
Ceará;Nordeste;2005;23,74;4,55;8160994
Rio Grande do Norte;Nordeste;2005;23,02;7,22;3072774
Paraíba;Nordeste;2005;25,77;6,94;3658219
Pernambuco;Nordeste;2005;22,4;6,49;8594736
Alagoas;Nordeste;2005;29,96;4,85;3092494
Sergipe;Nordeste;2005;20,55;6,05;1987538
Bahia;Nordeste;2005;20,23;5,88;14235163
Minas Gerais;Sudeste;2005;11,8;11,39;19282374
Espírito Santo;Sudeste;2005;11,07;14,39;3461298
Rio de Janeiro;Sudeste;2005;6,61;18,93;15524487
São Paulo;Sudeste;2005;7,42;22,6;40392394
Paraná;Sul;2005;8,85;17,51;10255266
Santa Catarina;Sul;2005;6,69;19,73;5912685
Rio Grande do Sul;Sul;2005;7,63;14,74;10714687
Mato Grosso do Sul;Centro-Oeste;2005;11,38;10,8;2318250
Mato Grosso;Centro-Oeste;2005;11,14;8,66;2824288
Goiás;Centro-Oeste;2005;11,25;7,72;5668707
Distrito Federal;Centro-Oeste;2005;6,86;28,64;2340111
Rondônia;Norte;2006;11,72;8,64;1573805
Acre;Norte;2006;20,28;8,34;680079
Amazonas;Norte;2006;10,72;6,88;3337348
Roraima;Norte;2006;10,54;6,63;419587
Pará;Norte;2006;17,44;4,55;7193583
Amapá;Norte;2006;7,9;5,44;619948
Tocantins;Norte;2006;17,22;5,55;1337810
Maranhão;Nordeste;2006;25,35;4,62;6328246
Piauí;Nordeste;2006;27,25;4,43;3066514
Ceará;Nordeste;2006;21,78;6,38;8255275
Rio Grande do Norte;Nordeste;2006;23,07;7,79;3115388
Paraíba;Nordeste;2006;23,05;7,29;3693573
Pernambuco;Nordeste;2006;20,07;7,96;8681621
Alagoas;Nordeste;2006;27,16;6,63;3125078
Sergipe;Nordeste;2006;18,16;8,65;2017021
Bahia;Nordeste;2006;19,93;7,6;14358234
Minas Gerais;Sudeste;2006;10,69;15,43;19476008
Espírito Santo;Sudeste;2006;11,33;16,92;3512483
Rio de Janeiro;Sudeste;2006;5,75;23,86;15649542
São Paulo;Sudeste;2006;6,95;26,72;40859263
Paraná;Sul;2006;8,04;20,34;10361248
Santa Catarina;Sul;2006;6,62;25,13;6005334
Rio Grande do Sul;Sul;2006;7,77;18,73;10786810
Mato Grosso do Sul;Centro-Oeste;2006;10,06;13,51;2354838
Mato Grosso;Centro-Oeste;2006;10,33;9,61;2873687
Goiás;Centro-Oeste;2006;10,61;10,08;5776488
Distrito Federal;Centro-Oeste;2006;5,92;32,92;2393012
Rondônia;Norte;2007;11,1;12,62;1598240
Acre;Norte;2007;18,82;12,55;694459
Amazonas;Norte;2007;11,35;8,77;3409727
Roraima;Norte;2007;13,48;10,81;430976
Pará;Norte;2007;16,41;5,95;7313634
Amapá;Norte;2007;11,19;8,47;637830
Tocantins;Norte;2007;15,74;8,08;1360075
Maranhão;Nordeste;2007;24,59;5,18;6404760
Piauí;Nordeste;2007;24,47;6,45;3089064
Ceará;Nordeste;2007;20,13;7,92;8343704
Rio Grande do Norte;Nordeste;2007;20,94;11,06;3156231
Paraíba;Nordeste;2007;24,1;8,4;3727687
Pernambuco;Nordeste;2007;19,76;9,55;8764827
Alagoas;Nordeste;2007;25,49;6,48;3155382
Sergipe;Nordeste;2007;17,07;11,76;2045256
Bahia;Nordeste;2007;19,62;10,35;14473675
Minas Gerais;Sudeste;2007;9,96;18,64;19659365
Espírito Santo;Sudeste;2007;10,12;21,96;3562203
Rio de Janeiro;Sudeste;2007;5,91;28,36;15768175
São Paulo;Sudeste;2007;6,29;31,41;41306571
Paraná;Sul;2007;8,04;24,78;10462827
