data;precipitacao_total;temperatura_media
2006-08-31;6,4;18,434167
2006-09-30;71,2;18,297197
2006-10-31;95,8;19,730242
2006-11-30;219,4;20,589505
2006-12-31;290,4;22,230207
2007-01-31;212,2;22,301479
2007-02-28;278,8;23,313723
2007-03-31;178,2;23,790757
2007-04-30;118,6;21,548333
2007-05-31;59,2;17,524801
2007-06-30;30,6;18,412222
2007-07-31;144,4;16,118887
2007-08-31;0;18,079038
2007-09-30;17;20,066226
2007-10-31;104,8;20,805511
2007-11-30;201,6;20,159195
2007-12-31;219,6;22,227419
2008-01-31;304,4;21,173253
2008-02-29;226,6;22,284914
2008-03-31;173,4;21,683065
2008-04-30;94,2;20,770139
2008-05-31;74,8;17,461471
2008-06-30;73;16,747307
2008-07-31;0,2;17,333333
2008-08-31;73,2;18,557589
2008-09-30;39,6;17,659167
2008-10-31;161,6;20,521505
2008-11-30;null;20,342667
2008-12-31;214,2;20,866935
2009-01-31;323;21,922844
2009-02-28;194,8;23,232007
2009-03-31;121;22,983737
2009-04-30;69;20,246111
2009-05-31;50,8;19,053226
2009-06-30;51,8;15,544583
2009-07-31;180,6;16,485887
2009-08-31;98,6;18,090188
2009-09-30;187,4;19,559444
2009-10-31;154,4;19,617098
2009-11-30;178;23,739583
2009-12-31;350;22,206452
2010-01-31;482,2;23,511039
2010-02-28;288,2;24,481696
2010-03-31;182,4;22,728898
2010-04-30;118,2;20,399861
2010-05-31;64,8;18,256586
2010-06-30;15;16,631945
2010-07-31;88,6;18,17095
2010-08-31;1,4;17,279281
2010-09-30;96;19,432228
2010-10-31;70;18,405242
2010-11-30;105,6;20,772144
2010-12-31;321,2;22,511828
2011-01-31;485,2;23,488844
2011-02-28;286,8;24,046726
2011-03-31;153;21,394956
2011-04-30;127;21,224167
2011-05-31;26,2;17,432385
2011-06-30;76,8;15,763618
2011-07-31;4,6;17,346848
2011-08-31;49,2;18,1134
2011-09-30;4,2;18,014167
2011-10-31;141;20,061425
2011-11-30;133,2;19,627409
2011-12-31;137,4;21,809274
2012-01-31;317,4;20,995699
2012-02-29;222,6;24,136925
2012-03-31;179;22,156053
2012-04-30;154,4;20,916667
2012-05-31;71;17,803945
2012-06-30;219;17,505779
2012-07-31;68,8;17,513394
2012-08-31;0,6;18,73
2012-09-30;19,6;19,998678
2012-10-31;125,8;21,919618
2012-11-30;97;20,541944
2012-12-31;381,4;24,093952
2013-01-31;164,6;21,495161
2013-02-28;271,2;23,01994
2013-03-31;176,4;21,840517
2013-04-30;70,8;19,774921
2013-05-31;43,8;18,555242
2013-06-30;139,4;18,020586
2013-07-31;61,6;16,636381
2013-08-31;8,2;17,653127
2013-09-30;80;18,920151
2013-10-31;124,2;19,527227
2013-11-30;120;21,268005
2013-12-31;79,8;23,021371
2014-01-31;223;24,951747
2014-02-28;188,8;25,323738
2014-03-31;212,6;22,744758
2014-04-30;77,2;20,767361
2014-05-31;50,2;18,550538
2014-06-30;9,8;18,435278
2014-07-31;null;17,427083
2014-08-31;31,6;18,227285
2014-09-30;60,6;20,193611
2014-10-31;25;21,348118
2014-11-30;119,6;21,300694
2014-12-31;207,8;23,075806
2015-01-31;158,4;25,140323
2015-02-28;268,4;23,216667
2015-03-31;327,8;21,87957
2015-04-30;105,4;20,682917
2015-05-31;50,8;18,454167
2015-06-30;21,2;17,895139
2015-07-31;66,8;17,891398
2015-08-31;30,8;19,862231
