data;precipitacao_total;pressao_atmosferica_media;temperatura_ponto_orvalho_media;temperatura_media;umidade_ar_media;velocidade_vento_media;
2003-01-19;null;null;null;null;null;null;
2003-01-20;null;null;null;null;84.461538;null;
2003-01-21;4.8;1009.108333;22.75;25.233333;86.75;1.370833;
2003-01-22;6;1009.220833;22.8375;25.275;86.791667;1.0375;
2003-01-23;0;1010.320833;22.675;25.104167;86.708333;1.358333;
2003-01-24;0;1010.008333;23.216667;25.954167;85.333333;1.129167;
2003-01-25;0;1008.658333;23.4875;26.691667;83.916667;1.3875;
2003-01-26;7.2;1007.645833;23.616667;26.341667;85.541667;1.295833;
2003-01-27;19.8;1008.6;23.195833;24.725;91.208333;1.579167;
2003-01-28;15.8;1010.241667;22.404167;24.245833;89.708333;1.233333;
2003-01-29;1.6;1009.333333;23.566667;25.3625;90.333333;.85;
2003-01-30;27;1008.020833;23.733333;26.116667;87.583333;.9;
2003-01-31;6.6;1008.154167;23.166667;25.070833;89.708333;.904167;
2003-02-01;43.4;1008.7875;22.6;24.370833;90.458333;.908333;
2003-02-02;36.2;1009.575;22.6625;24.65;89.041667;.891667;
2003-02-03;13.4;1009.8;23.1;24.65;91.5;.845833;
2003-02-04;5.8;1009.1;23.545833;25.145833;91.25;1.1125;
2003-02-05;22.6;1008.995833;23.525;25.329167;90.083333;1.579167;
2003-02-06;11;1009.354167;23.641667;25.520833;89.833333;.825;
2003-02-07;8;1008.7875;23.683333;25.508333;90.041667;.883333;
2003-02-08;33.2;1008.941667;23.425;25.341667;89.875;.879167;
2003-02-09;21;1009.258333;23.516667;25.3625;90.125;1.2625;
2003-02-10;41.6;1009.158333;22.483333;24.691667;88.166667;.995833;
2003-02-11;.2;1009.133333;22.891667;25.9;84.333333;1.429167;
2003-02-12;0;1009.675;23.195833;25.9125;85.75;1.408333;
2003-02-13;8;1009.286957;23.147826;24.93913;90.173913;1.1;
2003-02-14;5.6;1008.920833;23.208333;25.179167;89.333333;1.025;
2003-02-15;18.8;1007.633333;23.8375;25.804167;89.625;1.054167;
2003-02-16;46.6;1008.041667;23.566667;25.141667;91.541667;.845833;
2003-02-17;70.8;1009.066667;23.691667;25.283333;91.291667;.979167;
2003-02-18;7.2;1009.470833;23.195833;24.966667;90.166667;1.120833;
2003-02-19;7.2;1009.333333;23.641667;25.4;90.333333;1.004167;
2003-02-20;17.2;1009.445833;23.341667;25.641667;87.541667;.941667;
2003-02-21;0;1008.7375;22.975;26.041667;84.166667;1.179167;
2003-02-22;.6;1009.291667;23.241667;25.891667;85.708333;1.233333;
2003-02-23;7.6;1010.658333;23.025;24.791667;90.083333;1.3625;
2003-02-24;37.2;1011.591667;22.879167;25.016667;88.125;1.0125;
2003-02-25;.2;1009.541667;23.154167;25.941667;85.416667;1.066667;
2003-02-26;0;1008.654167;23.366667;25.295833;89.375;1.129167;
2003-02-27;20;1009.108333;23.35;25.195833;90.208333;.858333;
2003-02-28;42;1009.141667;23.708333;25.25;91.375;.966667;
2003-03-01;33.2;1009.158333;23.375;25.266667;89.583333;.841667;
2003-03-02;9.6;1008.008333;23.4625;24.904167;92;.783333;
2003-03-03;26.6;1007.904167;23.666667;25.495833;90.291667;.883333;
2003-03-04;25.2;1009.391667;23.554167;25.0125;92;.7125;
2003-03-05;37.2;1009.0375;22.904167;24.8875;89.291667;1.104167;
2003-03-06;9.8;1008.495833;22.979167;25.166667;88.208333;1.216667;
2003-03-07;6;1009.104167;23.0875;25.254167;88.208333;1.2375;
2003-03-08;2.6;1009.375;22.745833;24.445833;90.75;.970833;
2003-03-09;43.8;1008.833333;23.5;25.091667;91.458333;1.0125;
2003-03-10;42.2;1008.6375;23.091667;25.170833;88.833333;.945833;
2003-03-11;11.4;1008.675;22.779167;26.1625;82.791667;1.720833;
