data;precipitacao_total;pressao_atmosferica_media;temperatura_ponto_orvalho_media;temperatura_media;umidade_ar_media;velocidade_vento_media;
2000-05-06;null;null;null;null;null;null;
2000-05-07;null;null;null;null;49.153846;null;
2000-05-08;0;888.0875;13.516667;22.1375;60.333333;2.108333;
2000-05-09;0;888.108333;13.254167;22.058333;58.833333;1.158333;
2000-05-10;0;889;14.366667;22.391667;62.083333;2.054167;
2000-05-11;0;888.4625;13.458333;21.304167;62.375;2.704167;
2000-05-12;0;888.3375;13.15;20.116667;65.416667;3.004167;
2000-05-13;0;888.770833;12.254167;18.908333;67.041667;3.0875;
2000-05-14;0;888.654167;10.533333;18.6875;61.5;3.0875;
2000-05-15;0;887.341667;10.3375;19.033333;59.625;1.8875;
2000-05-16;0;886.3625;10.4875;19.770833;57.208333;1.7;
2000-05-17;0;886.983333;10.7625;20.0875;57.041667;1.579167;
2000-05-18;0;886.695833;13.633333;19.883333;68.333333;2.0625;
2000-05-19;0;887.583333;12.144444;null;68.555556;1.655556;
2000-05-20;null;null;null;null;null;null;
2000-05-21;null;null;null;null;null;null;
2000-05-22;null;null;null;null;null;null;
2000-05-23;null;891.508333;13.558333;20.033333;68.208333;3.058333;
2000-05-24;0;890.879167;11.575;19.0375;64.041667;3.495833;
2000-05-25;0;889.591667;9.779167;17.7875;62.041667;2.941667;
2000-05-26;0;888.983333;9.233333;19.270833;55.5;1.7125;
2000-05-27;0;887.608333;8.5;19.870833;50.5;1.3875;
2000-05-28;0;886.3625;9.3875;20.245833;51.375;.958333;
2000-05-29;0;885.7;12.558333;20.383333;62.833333;1.383333;
2000-05-30;0;886.958333;10.358333;21.029167;54.958333;1.129167;
2000-05-31;0;886.695833;11.154167;21.041667;55.791667;1.1;
2000-06-01;0;null;null;null;60;null;
2000-06-02;null;null;null;null;null;null;
2000-06-03;0;889.966667;11.841667;20.775;59.166667;2.595833;
2000-06-04;0;891.216667;12.3125;19.695833;64.291667;3.470833;
2000-06-05;0;891.016667;11.791667;18.591667;66.458333;3.3625;
2000-06-06;0;891.554167;11.6625;18;68.25;2.820833;
