data;precipitacao_total;pressao_atmosferica_media;temperatura_ponto_orvalho_media;temperatura_media;umidade_ar_media;velocidade_vento_media;
2010-09-17;null;null;null;null;null;null;
2010-09-18;null;null;null;null;null;null;
2010-09-19;null;null;null;null;null;null;
2010-09-20;null;null;null;null;null;null;
2010-09-21;null;900.2125;12.866667;15.679167;84.416667;null;
2010-09-22;0;899.333333;13.091667;17.195833;78.458333;null;
2010-09-23;0;898.375;11.633333;17.733333;71.208333;null;
2010-09-24;0;897.466667;13.0375;17.445833;76.708333;null;
2010-09-25;3;897.758333;15.004167;17.316667;87.166667;null;
2010-09-26;0;897.541667;13.891667;15.954167;88.75;null;
2010-09-27;2;894.6375;14.441667;17.170833;84.833333;null;
2010-09-28;2.2;892.641667;15.3625;17.154167;89.458333;null;
2010-09-29;1.8;892.779167;15.625;18.429167;84.875;null;
2010-09-30;0;894.154167;16.925;20.625;80.458333;null;
2010-10-01;.2;895.9875;17.275;20.670833;82.416667;null;
2010-10-02;10;895.970833;15.775;19.066667;84.25;null;
2010-10-03;4.4;899.954167;13.479167;14.466667;93.833333;null;
2010-10-04;3;900.295833;12.3;14.458333;87.375;null;
2010-10-05;3.2;897.116667;14.7875;16.979167;88.541667;null;
2010-10-06;.8;897.166667;15.795833;17.7375;89.208333;null;
2010-10-07;0;896.225;16.066667;20.029167;78.791667;null;
2010-10-08;4.6;894.579167;14.383333;18.9875;75.875;null;
2010-10-09;0;899.545833;10.454167;13.016667;84.875;null;
2010-10-10;8;901.620833;9.816667;12.104167;86.125;null;
2010-10-11;1;899.808333;10.65;11.541667;94.458333;null;
2010-10-12;2.2;900.3125;8.433333;11.075;84.333333;null;
2010-10-13;.2;900.425;8.233333;11.9375;79.625;null;
2010-10-14;0;900.0125;11.8;15.6;78.666667;null;
2010-10-15;0;898.833333;13.795833;16.716667;84.333333;null;
2010-10-16;0;897.6375;14.854167;17.804167;84.833333;null;
2010-10-17;21.6;895.975;16;18.4875;87.416667;null;
2010-10-18;3.4;894.1375;16.0125;17.2375;92.541667;null;
2010-10-19;45;896.866667;11.433333;13.1375;89.5;null;
2010-10-20;0;897.404167;11.066667;13.741667;84.416667;null;
2010-10-21;0;897.370833;12.416667;15.5375;83.125;null;
2010-10-22;0;896.429167;14.1875;17.041667;84.291667;null;
2010-10-23;0;893.933333;14.716667;19.45;76.833333;null;
2010-10-24;6.6;894.2875;16.420833;17.6375;92.916667;null;
2010-10-25;0;894.341667;15.6375;18.2375;85.833333;null;
2010-10-26;20.6;892.391667;14.8625;16.691667;89.333333;null;
2010-10-27;20.8;892.191667;11.829167;13.833333;88.375;null;
2010-10-28;.2;894.154167;12.304167;14.233333;88.583333;null;
2010-10-29;0;894.820833;14.691667;18.770833;79.583333;null;
2010-10-30;0;894.545833;16.429167;20.520833;79;null;
2010-10-31;12.8;895.525;16.133333;19.4125;83.083333;null;
2010-11-01;1.6;896.270833;16.016667;17.075;93.625;null;
2010-11-02;33;895.275;14.1375;15.941667;89.291667;null;
2010-11-03;0;895.2875;14.370833;16.566667;87.458333;null;
2010-11-04;.6;897.175;14.116667;18;80;null;
2010-11-05;0;896.525;14.991667;18.841667;79.5;null;
2010-11-06;3.8;891.6375;16.533333;18.704167;87.375;null;
2010-11-07;41.8;894.983333;14.5875;17.1375;85.666667;null;
2010-11-08;1.8;897.654167;15.920833;19.754167;79.791667;null;
2010-11-09;0;896.075;16.483333;20.104167;80.166667;null;
2010-11-10;11.4;895.504167;16.295833;18.3;88.208333;null;
2010-11-11;55.4;898.704167;14.1625;15.35;92.666667;null;
2010-11-12;.4;900.316667;12.016667;13.5625;90.708333;null;
2010-11-13;2.2;899.445833;12.5625;13.4875;94.083333;null;
2010-11-14;3.6;897.5;12.4875;13.9375;90.916667;null;
2010-11-15;18.8;897.375;13.075;14.375;92;null;
2010-11-16;1;896.183333;14.8;16.058333;92.208333;null;
2010-11-17;7.8;892.9625;16.3875;18.6875;86.875;null;
2010-11-18;.6;890.65;15.145833;19.345833;78.625;null;
2010-11-19;0;892.845833;14.829167;18.7375;80.916667;null;
2010-11-20;0;895.258333;16.7125;20.979167;79.291667;null;
2010-11-21;93.8;895.4875;16.729167;18.7375;88.333333;null;
2010-11-22;0;891.779167;16.0625;20.120833;78;null;
2010-11-23;12.8;889.458333;17.220833;18.958333;89.916667;null;
2010-11-24;22.8;890.629167;17.3375;19.720833;86.666667;null;
2010-11-25;16.8;891.879167;17.8875;20.808333;84.583333;null;
2010-11-26;28.4;892.920833;16.633333;18.583333;89.375;null;
2010-11-27;1.6;893.891667;16.279167;18.208333;88.666667;null;
2010-11-28;0;894.716667;15.65;18.725;83.75;null;
2010-11-29;0;895.270833;16.4375;20.283333;79.625;null;
2010-11-30;0;894.808333;17.066667;21.554167;77.166667;null;
2010-12-01;13.6;895.370833;17.958333;20.120833;87.958333;null;
2010-12-02;2.4;894.869565;18.2;19.534783;92.130435;null;
2010-12-03;13.6;893.529167;18.8;21.6375;85;null;
2010-12-04;19.6;894.629167;18.954167;21.195833;87.458333;null;
2010-12-05;12.2;894.058333;18.7;21.220833;86.25;null;
2010-12-06;14.6;894.3;18.341667;19.7625;91.75;null;
2010-12-07;33.4;892.458333;18.408333;20.008333;90.833333;null;
2010-12-08;18;889.879167;18.183333;21.5625;82.458333;null;
2010-12-09;5.2;890.633333;17.5125;19.658333;87.541667;null;
2010-12-10;2.4;894.233333;16.5125;18.833333;86.708333;null;
2010-12-11;0;894.566667;17.641667;20.720833;83.458333;null;
2010-12-12;0;891.641667;17.733333;21.033333;82.625;null;
2010-12-13;0;888.141667;17.845833;21.833333;80.791667;null;
2010-12-14;23.2;889.716667;18.4;20.491667;88.458333;null;
2010-12-15;30.6;893.304167;18.270833;20.125;89.541667;null;
2010-12-16;57;896.308333;17.816667;20.466667;85.416667;null;
2010-12-17;3.2;895.8;16.654167;20.2625;81.416667;null;
2010-12-18;.2;894.166667;16.291667;19.325;83.916667;null;
2010-12-19;.2;895.0625;16.416667;18.704167;87.875;null;
2010-12-20;9.2;897.325;16.029167;20.0375;80.916667;null;
2010-12-21;.2;897.333333;16.7;19.8625;84.291667;null;
2010-12-22;2;896.225;17.620833;19.8125;88.125;null;
2010-12-23;55;893.583333;16.958333;19.116667;88.25;null;
2010-12-24;35;892.883333;17.4125;18.691667;92.5;null;
2010-12-25;1.4;892.9;17.695833;19.8375;88.125;null;
2010-12-26;.2;892.391667;18.754167;21.083333;87.25;null;
2010-12-27;17.8;892.2125;17.6375;19.125;91.333333;null;
2010-12-28;35.6;891.4125;17.475;18.629167;93.083333;null;
2010-12-29;6.4;890.7125;16.304167;17.954167;90.333333;null;
2010-12-30;5;891.679167;15.395833;17.329167;88.708333;null;
2010-12-31;.8;892.729167;15.1375;16.991667;89.375;null;
2011-01-01;19.2;893.041667;16.9;18.108333;92.75;null;
2011-01-02;22;891.983333;16.979167;19.170833;87.25;null;
2011-01-03;1.8;892.2;16.475;19.108333;84.666667;null;
2011-01-04;6.2;893.145833;17.7625;19.458333;90;null;
2011-01-05;32.8;896.1625;17.966667;19.645833;90.083333;null;
2011-01-06;2.6;896.991667;17.758333;19.8;88.166667;null;
2011-01-07;1.2;897.379167;16.3375;20.129167;79.5;null;
2011-01-08;0;897.0375;15.091667;20.5625;73.375;null;
2011-01-09;0;895.329167;15.6125;19.6375;79.791667;null;
2011-01-10;.2;892.370833;16.079167;20.85;77.25;null;
2011-01-11;98;890.958333;17.741667;19.095833;92.208333;null;
2011-01-12;182.8;891.179167;18.291667;20.5;87.625;null;
2011-01-13;16.8;891.679167;18.466667;20.4125;88.666667;null;
2011-01-14;10;892.8625;18.629167;20.108333;91.25;null;
2011-01-15;20.6;893.25;17.929167;19.0875;93.208333;null;
2011-01-16;33.2;893.895833;18.204167;20.0875;89.208333;null;
2011-01-17;.2;895.6625;18.270833;20.9875;84.916667;null;
2011-01-18;0;895.616667;18.0375;20.208333;88.375;null;
2011-01-19;9;893.816667;17.958333;20.754167;85.333333;null;
2011-01-20;.2;893.683333;16.75;21.579167;77.5;null;
2011-01-21;.2;894.516667;15.445833;20.508333;77.583333;null;
2011-01-22;0;896.679167;16.408333;20.695833;77.958333;null;
2011-01-23;0;898.129167;17.716667;20.904167;83.458333;null;
2011-01-24;9.2;898.0125;16.025;19.679167;80.958333;null;
2011-01-25;0;897.554167;15.079167;19.354167;77.791667;null;
2011-01-26;0;897.416667;15.741667;20.1625;77.541667;null;
2011-01-27;.2;896.7625;17.1375;21.016667;80.291667;null;
2011-01-28;0;896.933333;17.6875;21.345833;81.083333;null;
2011-01-29;.4;897.883333;16.770833;21.279167;78.5;null;
2011-01-30;.2;897.841667;17.908333;20.954167;84.333333;null;
2011-01-31;.2;897.025;18.2375;20.683333;87.125;null;
2011-02-01;3;896.858333;18.4375;21.5625;83.958333;null;
2011-02-02;1.6;896.8375;18.0375;21.179167;83.958333;null;
2011-02-03;0;897.0625;17.270833;20.975;81.291667;null;
2011-02-04;.2;896.6;15.1875;19.820833;77.708333;null;
2011-02-05;.2;896.295833;15.483333;20.3625;76.875;null;
2011-02-06;.2;896.5875;15.8875;20.545833;77.333333;null;
2011-02-07;0;898.075;16.595833;20.208333;81.5;null;
2011-02-08;0;898.5625;15.725;20.9375;73.958333;null;
2011-02-09;0;896.370833;16.058333;21.504167;72.5;null;
2011-02-10;.2;894.633333;16.233333;20.991667;76.833333;null;
2011-02-11;0;896.683333;17.7375;20.933333;83.208333;null;
2011-02-12;.6;897.4125;15.658333;20.325;78.041667;null;
2011-02-13;.2;896.308333;15.454167;19.941667;77.708333;null;
2011-02-14;.2;896.166667;14.5875;21.004167;71.833333;null;
2011-02-15;0;896.308333;15.4;19.229167;81.125;null;
2011-02-16;.4;897.695833;15.908333;20.691667;76.75;null;
2011-02-17;0;898.8875;16.745833;20.1375;81.5;null;
2011-02-18;1.4;898.920833;14.8;20.654167;72.041667;null;
2011-02-19;0;897.991667;15.4375;18.916667;81.833333;null;
2011-02-20;9.2;897.704167;16.416667;19.433333;84.541667;null;
2011-02-21;.2;898.7375;16.133333;20.170833;80.333333;null;
2011-02-22;.8;896.325;16.204167;20.308333;80.541667;null;
2011-02-23;30.4;893.533333;17.795833;20;88.25;null;
2011-02-24;15.6;894.179167;17.645833;19.741667;88.291667;null;
2011-02-25;.2;895.720833;17.758333;19.85;88.333333;null;
2011-02-26;3.6;895.358333;16.691667;19.641667;84.125;null;
2011-02-27;0;894.245833;18.479167;21.233333;85.291667;null;
2011-02-28;46.4;893.9;17.745833;19.725;89;null;
2011-03-01;30;894.075;16.458333;19.091667;85.541667;null;
2011-03-02;.4;895.6875;16.245833;17.770833;91.041667;null;
2011-03-03;67.2;896.9625;16.133333;17.208333;93.416667;null;
2011-03-04;4;896.554167;15.870833;17.475;90.791667;null;
2011-03-05;56.2;896.445833;16.3125;17.095833;95.041667;null;
2011-03-06;28;895.545833;16.295833;17.545833;92.458333;null;
2011-03-07;15.6;895.383333;16.595833;17.4875;94.291667;null;
2011-03-08;6.2;895.866667;17.25;18.35;93.416667;null;
2011-03-09;12.4;895.065217;17.217391;18.895652;90.217391;null;
2011-03-10;4.8;894.8375;17.754167;19.420833;90.333333;null;
2011-03-11;13;895.0125;17.279167;19.458333;87.958333;null;
2011-03-12;1.2;894.020833;17.495833;19.0875;91.083333;null;
2011-03-13;4.6;890.291667;18.304167;20.104167;89.583333;null;
2011-03-14;11.6;889.008333;18.3;19.445833;93.25;null;
2011-03-15;14.6;893.095833;18.225;19.8125;90.708333;null;
2011-03-16;8.2;896.816667;17.895833;19.125;92.625;null;
2011-03-17;5.6;897.191667;16.729167;18.729167;88.541667;null;
2011-03-18;0;896.5125;16.2625;19.104167;84.958333;null;
2011-03-19;0;896.3875;16.4;19.2625;84.458333;null;
2011-03-20;25.2;898.504167;14.666667;17.1625;86.541667;null;
2011-03-21;0;898.704167;14.479167;16.083333;90.625;null;
2011-03-22;5.8;898.891667;15.504167;17.070833;90.833333;null;
2011-03-23;1.4;899.645833;15.358333;18.420833;82.458333;null;
2011-03-24;1.4;899.354167;15.454167;19.3375;79.583333;null;
2011-03-25;0;897.591667;16.416667;19.0375;86.5;null;
2011-03-26;4.8;896.445833;16.741667;18.891667;88.5;null;
2011-03-27;.6;896.6125;17.166667;19.666667;87.083333;null;
2011-03-28;18.6;897.659091;17.109091;19.613636;87.181818;null;
2011-03-29;1.6;897.927273;17.831818;19.486364;90.681818;null;
2011-03-30;1.4;897.357143;17.938095;null;92.190476;null;
2011-03-31;null;895.995833;17.4375;18.825;91.833333;null;
2011-04-01;35;896.245833;17.016667;19.004167;88.583333;null;
2011-04-02;1;895.470833;16.8;19.225;86.916667;null;
2011-04-03;2.8;894.475;17.170833;18.483333;92.416667;null;
2011-04-04;5.6;894.6125;17.545833;19.0875;91;null;
