Data;Maior;Menor;Abertura;Fechamento;Volume;Adj Close
04/01/2021;25,58;24,87;25,26;25,2;25.706.100;25,18
05/01/2021;25,18;24,34;25,1;24,76;25.431.900;24,74
06/01/2021;24,66;23,42;24,65;23,46;51.799.000;23,44
07/01/2021;23,85;22,95;23,64;23,16;42.146.600;23,14
08/01/2021;24,3;23,02;23,19;23,84;43.988.100;23,82
11/01/2021;23,85;23,33;23,5;23,49;26.648.100;23,47
12/01/2021;24,32;23,25;23,6;24,2;35.040.100;24,18
13/01/2021;24,2;23,55;24,2;24,02;25.610.200;24
14/01/2021;24,16;23,5;24,15;23,73;25.548.400;23,71
15/01/2021;24,11;23,35;23,73;23,96;32.761.100;23,94
18/01/2021;24,65;23,91;24,05;24,45;24.257.200;24,43
19/01/2021;24,95;23,82;24,54;24,08;21.025.600;24,06
20/01/2021;25,53;24,12;24,18;25,42;48.089.300;25,4
21/01/2021;25,65;24,85;25,4;25,49;33.038.900;25,47
22/01/2021;26,3;25,1;25,13;25,99;43.004.200;25,97
26/01/2021;27,07;25,67;26,25;25,75;44.474.300;25,73
27/01/2021;26,39;25,35;25,72;25,79;44.942.000;25,77
28/01/2021;26,5;25,39;25,87;26,19;32.819.900;26,17
29/01/2021;26,08;25,03;25,74;25,27;36.141.300;25,25
01/02/2021;25,74;24,75;25,68;24,93;29.267.700;24,91
02/02/2021;25,73;25,2;25,3;25,3;27.563.200;25,28
03/02/2021;25,77;25,04;25,44;25,65;20.963.300;25,63
04/02/2021;26,2;25,16;25,64;25,31;19.706.400;25,29
05/02/2021;26,09;25,38;25,38;25,85;24.918.700;25,83
08/02/2021;26,4;25,52;25,85;26,16;25.773.300;26,14
09/02/2021;26,45;25,9;26,16;26,24;19.348.100;26,22
10/02/2021;26,12;25,11;26,1;25,3;40.037.100;25,28
11/02/2021;25,95;25,3;25,3;25,65;20.569.900;25,63
12/02/2021;25,98;25,35;25,52;25,91;15.132.400;25,89
17/02/2021;26,21;25,46;25,72;25,5;24.753.500;25,48
18/02/2021;25,59;24,8;25,5;25,04;22.577.800;25,02
19/02/2021;25,39;24,19;24,92;24,94;38.672.200;24,92
22/02/2021;24,52;23,66;24,23;24,25;41.412.400;24,23
23/02/2021;25,08;23,85;24,3;24,86;43.889.700;24,84
24/02/2021;25,1;24,2;24,93;24,64;37.411.000;24,62
25/02/2021;25,02;23,81;24,59;24,05;57.969.900;24,03
26/02/2021;24,96;23,98;24,08;24,18;45.690.100;24,16
01/03/2021;25;24,17;24,56;24,55;22.131.200;24,53
02/03/2021;24,6;23,59;24,29;24,27;35.351.400;24,25
03/03/2021;25,28;23,5;24,53;25,12;47.195.300;25,1
04/03/2021;25,7;24,88;25,11;25,44;40.538.300;25,42
05/03/2021;25,34;24,56;25,19;25,13;45.992.500;25,11
08/03/2021;24,77;23,1;24,69;23,1;82.907.400;23,08
09/03/2021;23,97;23,31;23,55;23,39;73.816.700;23,37
10/03/2021;25,09;23,47;23,75;24,9;41.874.800;24,88
11/03/2021;25,08;24,46;25,07;24,8;30.648.100;24,78
12/03/2021;24,9;24,27;24,6;24,57;24.567.300;24,55
15/03/2021;24,76;23,55;24,35;23,72;77.116.200;23,7
16/03/2021;24,39;23,6;23,82;24,15;38.217.700;24,13
17/03/2021;24,05;23,41;23,86;23,94;37.571.800;23,92
18/03/2021;23,85;22,07;23,76;22,28;54.327.100;22,26
19/03/2021;22,65;22,03;22,48;22,29;63.771.900;22,27
22/03/2021;22,73;21,45;22,4;21,91;46.283.500;21,89
23/03/2021;22,03;21,35;21,8;21,51;30.972.400;21,49
24/03/2021;21,51;20,21;21,48;20,37;59.851.100;20,36
25/03/2021;20,97;19,97;20,05;20,3;49.084.600;20,29
26/03/2021;20,7;19,7;20,4;19,98;50.504.800;19,97
29/03/2021;20,05;19,4;19,93;19,65;41.482.100;19,64
30/03/2021;20,32;19,42;19,49;20,06;36.267.200;20,05
31/03/2021;20,46;19,67;20,16;20,24;36.377.800;20,23
01/04/2021;21,02;20,05;20,28;20,44;43.136.300;20,43
05/04/2021;20,73;19,93;20,6;20,42;27.289.400;20,41
06/04/2021;20,72;20,06;20,34;20,6;26.541.200;20,59
07/04/2021;20,53;20,03;20,5;20,18;25.362.800;20,17
08/04/2021;21,9;20,21;20,23;21,85;56.482.000;21,83
09/04/2021;22,02;21,6;21,65;21,67;35.804.300;21,65
12/04/2021;21,93;21,61;21,78;21,65;20.807.400;21,63
13/04/2021;22,29;21,48;21,72;22,2;29.003.400;22,18
14/04/2021;22,35;21,87;22,35;22,12;24.257.100;22,1
15/04/2021;22,52;22,1;22,22;22,2;18.452.800;22,18
16/04/2021;22,25;21,76;22,19;21,92;19.863.700;21,9
19/04/2021;22,15;21,54;21,91;21,65;22.104.000;21,63
20/04/2021;21,8;21,42;21,64;21,6;20.527.200;21,58
22/04/2021;21,85;21,11;21,71;21,15;22.627.800;21,13
23/04/2021;21,73;21,13;21,26;21,73;25.864.500;21,71
26/04/2021;21,81;21,5;21,61;21,71;19.630.100;21,69
27/04/2021;21,65;20,93;21,6;20,95;15.920.900;20,93
28/04/2021;21,1;20,58;20,94;20,65;28.538.900;20,64
29/04/2021;20,67;19,91;20,63;20,26;34.394.600;20,25
30/04/2021;20,39;19,87;20,1;20,03;29.426.800;20,02
03/05/2021;20,25;19,9;20,11;20,18;17.801.100;20,17
04/05/2021;20,23;19,64;20,18;19,75;19.458.300;19,74
05/05/2021;20,09;19,68;19,85;19,9;15.035.400;19,89
06/05/2021;19,95;19,3;19,85;19,46;27.062.800;19,45
07/05/2021;19,9;19,33;19,58;19,89;23.586.600;19,88
10/05/2021;19,98;19,05;19,89;19,2;22.189.400;19,19
11/05/2021;19,39;18,66;19;19,32;26.674.800;19,31
12/05/2021;19,15;18,5;19;18,59;21.900.200;18,58
13/05/2021;19,25;18,73;18,81;19,13;19.821.800;19,12
14/05/2021;19,74;18,97;19,6;19,15;27.030.400;19,14
17/05/2021;19,22;18,73;19,12;18,86;15.761.200;18,85
18/05/2021;19,41;18,77;18,83;18,97;18.115.000;18,96
19/05/2021;19,12;18,54;18,76;18,68;16.876.700;18,67
20/05/2021;18,88;18,6;18,68;18,74;11.105.100;18,73
21/05/2021;18,78;18,25;18,75;18,53;22.898.700;18,52
24/05/2021;20,06;18,51;18,55;20;43.974.700;19,99
25/05/2021;20,66;20,02;20,2;20,02;33.802.700;20,01
26/05/2021;20,39;19,65;20,36;19,67;19.546.100;19,66
27/05/2021;19,84;19,47;19,74;19,59;22.849.600;19,58
28/05/2021;20,42;19,62;19,7;20,25;19.444.100;20,24
31/05/2021;20,4;19,98;20,26;20,16;12.532.200;20,15
01/06/2021;20,65;20,21;20,26;20,35;17.996.900;20,34
02/06/2021;21,26;20,25;20,41;20,5;27.396.500;20,49
04/06/2021;21,05;20,51;20,61;20,85;17.904.800;20,83
07/06/2021;20,99;20,57;20,94;20,8;13.595.500;20,78
08/06/2021;21,43;20,85;21,09;21,05;35.077.700;21,03
09/06/2021;21,09;20,22;21,05;20,27;26.842.000;20,26
10/06/2021;20,39;19,93;20,34;20,28;15.648.300;20,27
11/06/2021;20,48;19,99;20,28;20,38;11.329.600;20,37
14/06/2021;20,73;20,38;20,44;20,59;16.590.200;20,58
15/06/2021;21,18;20,48;20,56;20,89;22.663.200;20,87
16/06/2021;21;20,06;20,95;20,31;29.179.100;20,3
17/06/2021;21,37;20,08;20,3;21,31;30.637.500;21,29
18/06/2021;21,51;21,02;21,31;21,07;28.642.600;21,05
21/06/2021;21,32;20,88;21,17;21,27;10.966.600;21,25
22/06/2021;21,34;20,66;21,33;20,97;16.399.200;20,95
23/06/2021;21,22;20,51;20,95;20,58;16.522.500;20,57
24/06/2021;21,73;20,7;20,8;21,65;31.539.400;21,63
25/06/2021;21,93;21,06;21,77;21,39;29.899.300;21,37
28/06/2021;21,84;21,12;21,39;21,53;20.884.200;21,51
29/06/2021;21,69;21,05;21,53;21,67;11.798.500;21,65
30/06/2021;21,6;21,01;21,53;21,15;25.299.600;21,13
01/07/2021;21,27;20,42;21,22;20,69;18.162.800;20,68
02/07/2021;21,69;20,76;20,8;21,64;24.246.800;21,62
05/07/2021;21,6;21,13;21,5;21,38;8.716.100;21,36
06/07/2021;21,43;20,95;21,14;21,07;19.834.500;21,07
07/07/2021;22,15;21,28;21,3;22,01;30.825.300;22,01
08/07/2021;22,07;21,48;21,68;21,92;18.120.000;21,92
12/07/2021;22,4;21,95;22,06;22,1;20.406.700;22,1
13/07/2021;22,54;21,77;21,97;22,49;22.948.200;22,49
14/07/2021;22,93;22,51;22,6;22,93;29.771.000;22,93
15/07/2021;24,57;23,71;23,9;23,72;60.427.800;23,72
16/07/2021;24,34;23,81;23,82;23,9;25.944.100;23,9
19/07/2021;23,88;22,96;23,65;23,12;19.528.800;23,12
20/07/2021;23,38;22,7;23,2;23,37;18.213.800;23,37
21/07/2021;23,52;22,97;23,27;23,36;12.301.500;23,36
22/07/2021;23,52;23,05;23,39;23,25;17.395.500;23,25
23/07/2021;22,93;22,21;22,8;22,6;33.320.900;22,6
26/07/2021;22,76;22,02;22,73;22,04;17.731.100;22,04
27/07/2021;22,16;21,1;22,08;21,45;26.917.800;21,45
28/07/2021;21,78;21,22;21,59;21,53;17.736.600;21,53
29/07/2021;22,15;21,4;21,58;21,72;18.346.000;21,72
30/07/2021;21,7;20,55;21,44;20,6;30.461.200;20,6
02/08/2021;21,07;20,56;20,91;20,63;23.874.900;20,63
03/08/2021;20,65;19,72;20,6;20,43;18.984.200;20,43
04/08/2021;20,32;19,72;20,29;19,96;27.526.900;19,96
05/08/2021;20,75;19,99;20,12;20,46;35.525.100;20,46
06/08/2021;20,88;20,14;20,53;20,68;20.427.500;20,68
09/08/2021;20,88;20,43;20,57;20,49;14.217.100;20,49
10/08/2021;20,76;20,13;20,53;20,4;19.570.900;20,4
11/08/2021;20,96;20,15;20,41;20,91;18.593.600;20,91
12/08/2021;21,26;20,54;20,74;20,97;24.833.500;20,97
13/08/2021;21,17;19,88;21,1;20,27;44.193.200;20,27
16/08/2021;20,4;19,4;20,23;19,42;32.682.500;19,42
17/08/2021;19,66;18,71;19,28;19,31;30.147.900;19,31
18/08/2021;19,5;18,63;19,42;18,84;33.337.500;18,84
19/08/2021;19,08;18,11;18,58;18,95;32.887.300;18,95
20/08/2021;19;18,4;18,7;18,86;23.867.700;18,86
23/08/2021;19,05;18,07;19,02;18,13;29.506.500;18,13
24/08/2021;19,34;18,15;18,34;19,24;70.379.800;19,24
25/08/2021;19,56;19,03;19,12;19,55;30.751.500;19,55
26/08/2021;19,7;18,69;19,47;18,8;34.921.000;18,8
27/08/2021;19,15;18,76;18,92;19,03;22.854.400;19,03
30/08/2021;19,1;18,49;18,94;18,88;22.428.500;18,88
31/08/2021;19,06;18,14;18,75;18,24;30.710.300;18,24
01/09/2021;18,86;18,28;18,36;18,68;22.207.800;18,68
02/09/2021;18,66;17,86;18,66;18,01;26.117.200;18,01
03/09/2021;18,9;17,9;18,1;18,9;46.378.200;18,9
06/09/2021;19,5;18,76;18,86;19,48;18.350.600;19,48
08/09/2021;19,33;18,65;19,25;18,79;36.352.200;18,79
09/09/2021;19,42;17,96;18,9;18,85;35.169.300;18,85
10/09/2021;19,12;17,18;19,06;17,18;73.358.000;17,18
13/09/2021;18,04;17,43;17,59;17,44;35.718.800;17,44
14/09/2021;17,78;16,85;17,54;17,03;49.175.200;17,03
15/09/2021;17,13;16,49;17,08;16,62;30.868.200;16,62
16/09/2021;16,62;16,11;16,45;16,37;31.384.100;16,37
17/09/2021;16,77;15,86;16,31;16,57;44.037.800;16,57
20/09/2021;16,41;15,79;16,24;16,05;26.978.100;16,05
21/09/2021;16,61;15,82;16,16;16,39;29.849.400;16,39
22/09/2021;16,72;16,16;16,6;16,34;23.824.200;16,34
23/09/2021;16,52;15,81;16,4;15,87;31.272.400;15,87
24/09/2021;15,73;15,36;15,68;15,63;29.218.300;15,63
27/09/2021;15,72;14,92;15,52;15,01;33.040.100;15,01
28/09/2021;14,96;14,02;14,81;14,18;55.253.500;14,18
29/09/2021;14,51;13,87;14,3;13,94;41.753.900;13,94
30/09/2021;14,71;13,92;13,98;14,34;55.324.400;14,34
01/10/2021;14,71;14,07;14,4;14,55;32.423.800;14,55
04/10/2021;14,28;13,53;14,25;13,71;54.061.500;13,71
05/10/2021;14,13;13,54;13,8;13,68;41.274.500;13,68
06/10/2021;14,6;13,15;13,49;14,46;73.344.200;14,46
07/10/2021;14,84;14;14,6;14,03;39.573.200;14,03
08/10/2021;15,35;14,26;14,26;14,97;54.839.800;14,97
11/10/2021;15,06;14,35;15,04;14,38;30.124.900;14,38
13/10/2021;14,65;14,29;14,42;14,5;29.912.600;14,5
14/10/2021;14,63;14,1;14,6;14,17;26.031.600;14,17
15/10/2021;14,65;14,1;14,21;14,56;23.118.100;14,56
18/10/2021;14,44;14,02;14,39;14,28;38.983.400;14,28
19/10/2021;14,28;13,59;14,11;13,73;36.121.500;13,73
20/10/2021;13,89;13,13;13,84;13,27;60.990.300;13,27
21/10/2021;13,2;12,28;12,89;12,41;69.044.800;12,41
22/10/2021;12,95;11,86;12,35;12,42;69.424.400;12,42
25/10/2021;12,83;12,27;12,49;12,34;34.938.300;12,34
26/10/2021;12,35;11,73;12,29;11,98;37.126.500;11,98
27/10/2021;12,43;11,54;12,07;11,6;41.683.000;11,6
28/10/2021;11,76;11,07;11,49;11,15;42.390.700;11,15
29/10/2021;11,36;10,73;11,24;10,81;41.570.400;10,81
01/11/2021;11,43;10,86;10,87;11,3;31.309.000;11,3
03/11/2021;11,67;10,99;11,19;11,55;47.660.400;11,55
04/11/2021;11,82;10,93;11,5;11,08;34.112.300;11,08
05/11/2021;12,62;11,16;11,22;12,44;66.246.300;12,44
08/11/2021;12,66;11,87;12,31;11,93;47.182.200;11,93
09/11/2021;13,8;12,05;12,05;13,13;67.266.300;13,13
10/11/2021;13,54;12,82;13,2;13,02;60.782.500;13,02
11/11/2021;14,26;13,12;13,3;13,65;65.760.100;13,65
12/11/2021;12,78;11,15;12,65;11,15;142.722.700;11,15
16/11/2021;11,4;9,74;11,19;9,74;141.030.500;9,74
17/11/2021;10,14;9,19;9,91;9,27;131.992.600;9,27
18/11/2021;9,6;8,99;9,36;8,99;76.651.700;8,99
19/11/2021;9,87;8,94;9,05;9,27;93.775.200;9,27
22/11/2021;9,68;8,81;9,4;8,84;68.026.000;8,84
23/11/2021;9,05;8,47;9;8,6;84.966.000;8,6
24/11/2021;9,01;8,45;8,5;8,82;79.041.600;8,82
25/11/2021;9,04;8,61;8,84;8,7;58.775.400;8,7
26/11/2021;8,57;8,03;8,48;8,06;63.464.200;8,06
29/11/2021;8,47;7,98;8,19;8,04;85.239.300;8,04
30/11/2021;8,11;7,6;7,99;7,8;93.767.300;7,8
01/12/2021;8,1;6,88;8,05;6,88;140.235.300;6,88
