NM_REGIAO;NM_ESTADO;CD_GEOCUF;casos_confirmados;casos_suspeitos;obitos
SUDESTE;MINAS GERAIS;31;133;493;1
SUDESTE;ESPÍRITO SANTO;32;8;29;0
SUDESTE;RIO DE JANEIRO;33;314;429;0
SUDESTE;SÃO PAULO;35;2019;1086;0
SUL;SANTA CATARINA;42;22;151;0
SUL;PARANÁ;41;62;95;0
SUL;RIO GRANDE DO SUL;43;34;133;0
CENTRO-OESTE;GOIÁS;52;60;252;0
CENTRO-OESTE;DISTRITO FEDERAL;53;100;114;0
CENTRO-OESTE;MATO GROSSO DO SUL;50;10;16;0
CENTRO-OESTE;MATO GROSSO;51;4;16;0
NORTE;AMAZONAS;13;9;9;0
NORTE;ACRE;12;1;5;0
NORTE;AMAPÁ;16;0;0;0
NORTE;PARÁ;15;1;21;0
NORTE;RONDÔNIA;11;0;6;0
NORTE;RORAIMA;14;0;1;0
NORTE;TOCANTINS;17;1;38;0
NORDESTE;BAHIA;29;26;141;0
NORDESTE;ALAGOAS;27;0;30;0
NORDESTE;CEARÁ;23;14;162;0
NORDESTE;MARANHÃO;21;2;5;0
NORDESTE;PARAÍBA;25;1;30;0
NORDESTE;PERNAMBUCO;26;15;131;0
NORDESTE;PIAUÍ;22;1;27;0
NORDESTE;RIO GRANDE DO NORTE;24;10;1;0
NORDESTE;SERGIPE;28;0;8;0
