data;chegadas_onibus
31/01/2006;72406
28/02/2006;56343
31/03/2006;60177
30/04/2006;58571
31/05/2006;58286
30/06/2006;55292
31/07/2006;61195
31/08/2006;57212
30/09/2006;56109
31/10/2006;58432
30/11/2006;57410
31/12/2006;66616
31/01/2007;70775
28/02/2007;57213
31/03/2007;58009
30/04/2007;57863
31/05/2007;57699
30/06/2007;56089
31/07/2007;63076
31/08/2007;58260
30/09/2007;57774
31/10/2007;59291
30/11/2007;57627
31/12/2007;66066
31/01/2008;70107
29/02/2008;58355
31/03/2008;60734
30/04/2008;57131
31/05/2008;59091
30/06/2008;56194
31/07/2008;61754
31/08/2008;59434
30/09/2008;56788
31/10/2008;59103
30/11/2008;57618
31/12/2008;66553
31/01/2009;69886
28/02/2009;56900
31/03/2009;58840
30/04/2009;58067
31/05/2009;57978
30/06/2009;55925
31/07/2009;59455
31/08/2009;57490
30/09/2009;55608
31/10/2009;57831
30/11/2009;55988
31/12/2009;61898
31/01/2010;66983
28/02/2010;53810
31/03/2010;55809
30/04/2010;55908
31/05/2010;57062
30/06/2010;54693
31/07/2010;59908
31/08/2010;57711
30/09/2010;56177
31/10/2010;58740
30/11/2010;57263
31/12/2010;64609
31/01/2011;67902
28/02/2011;53312
31/03/2011;58781
30/04/2011;58383
31/05/2011;56972
30/06/2011;55831
31/07/2011;59699
31/08/2011;57137
30/09/2011;55298
31/10/2011;57925
30/11/2011;56083
31/12/2011;64962
31/01/2012;68475
29/02/2012;57793
31/03/2012;57960
30/04/2012;57933
31/05/2012;57884
30/06/2012;56026
31/07/2012;61369
31/08/2012;57665
30/09/2012;58160
31/10/2012;60029
30/11/2012;58703
31/12/2012;65606
31/01/2013;68990
28/02/2013;55814
31/03/2013;59078
30/04/2013;55940
31/05/2013;58042
30/06/2013;56628
31/07/2013;62020
31/08/2013;58467
30/09/2013;57429
31/10/2013;58815
30/11/2013;58844
31/12/2013;66416
31/01/2014;69636
28/02/2014;54335
31/03/2014;61664
30/04/2014;59758
31/05/2014;59034
30/06/2014;57779
31/07/2014;60344
31/08/2014;59139
30/09/2014;57039
31/10/2014;59281
30/11/2014;58339
31/12/2014;66838
31/01/2015;70155
28/02/2015;56699
31/03/2015;57947
30/04/2015;57934
31/05/2015;57609
30/06/2015;54240
31/07/2015;58198
31/08/2015;56071
30/09/2015;54875
31/10/2015;57025
30/11/2015;54166
31/12/2015;60230
31/01/2016;63250
29/02/2016;53707
31/03/2016;54730
30/04/2016;52708
31/05/2016;53678
30/06/2016;50195
31/07/2016;55087
31/08/2016;53782
30/09/2016;50721
31/10/2016;53003
30/11/2016;51263
31/12/2016;58707
31/01/2017;62160
28/02/2017;48703
31/03/2017;54107
30/04/2017;52351
31/05/2017;53236
30/06/2017;51552
31/07/2017;55885
31/08/2017;52394
30/09/2017;52994
31/10/2017;54366
30/11/2017;51596
31/12/2017;58902
31/01/2018;63554
28/02/2018;50588
31/03/2018;52984
30/04/2018;52107
31/05/2018;49979
30/06/2018;49973
31/07/2018;54817
31/08/2018;52058
30/09/2018;51770
31/10/2018;53439
30/11/2018;52502
31/12/2018;58813
31/01/2019;63449
28/02/2019;47681
31/03/2019;53664
30/04/2019;51558
31/05/2019;51586
30/06/2019;50907
31/07/2019;54366
31/08/2019;52412
30/09/2019;51021
31/10/2019;53125
30/11/2019;52407
31/12/2019;58946
31/01/2020;63015
29/02/2020;50415
31/03/2020;34451
30/04/2020;6404
31/05/2020;8602
30/06/2020;11489
31/07/2020;15028
31/08/2020;18698
30/09/2020;22708
31/10/2020;26998
30/11/2020;27870
31/12/2020;33918
31/01/2021;35615
28/02/2021;27605
31/03/2021;23115
30/04/2021;18215
