data;desembarque_passageiros
01/01/2006;1789854
01/02/2006;1199528
01/03/2006;1287120
01/04/2006;1260097
01/05/2006;1201297
01/06/2006;1108244
01/07/2006;1416943
01/08/2006;1175257
01/09/2006;1189087
01/10/2006;1236681
01/11/2006;1194130
01/12/2006;1498308
01/01/2007;1676855
01/02/2007;1210267
01/03/2007;1129322
01/04/2007;1190139
01/05/2007;1132190
01/06/2007;1096752
01/07/2007;1435307
01/08/2007;1184588
01/09/2007;1236647
01/10/2007;1239992
01/11/2007;1207468
01/12/2007;1491274
01/01/2008;1682876
01/02/2008;1274222
01/03/2008;1288297
01/04/2008;1164537
01/05/2008;1239601
01/06/2008;1133117
01/07/2008;1438834
01/08/2008;1270025
01/09/2008;1203840
01/10/2008;1263087
01/11/2008;1253765
01/12/2008;1539129
01/01/2009;1712571
01/02/2009;1247245
01/03/2009;1219492
01/04/2009;1255680
01/05/2009;1211949
01/06/2009;1129733
01/07/2009;1339558
01/08/2009;1187227
01/09/2009;1153626
01/10/2009;1225366
01/11/2009;1204470
01/12/2009;1424701
01/01/2010;1650584
01/02/2010;1196224
01/03/2010;1167170
01/04/2010;1205974
01/05/2010;1200691
01/06/2010;1122800
01/07/2010;1388628
01/08/2010;1228250
01/09/2010;1218380
01/10/2010;1278697
01/11/2010;1257646
01/12/2010;1491200
01/01/2011;1696236
01/02/2011;1154203
01/03/2011;1267772
01/04/2011;1299822
01/05/2011;1196008
01/06/2011;1170575
01/07/2011;1399911
01/08/2011;1212738
01/09/2011;1195056
01/10/2011;1268757
01/11/2011;1226409
01/12/2011;1512862
01/01/2012;1700119
01/02/2012;1284831
01/03/2012;1223317
01/04/2012;1283652
01/05/2012;1222093
01/06/2012;1180120
01/07/2012;1457812
01/08/2012;1219794
01/09/2012;1275706
01/10/2012;1321885
01/11/2012;1315101
01/12/2012;1519535
01/01/2013;1701306
01/02/2013;1247098
01/03/2013;1303294
01/04/2013;1222909
01/05/2013;1247406
01/06/2013;1236217
01/07/2013;1489650
01/08/2013;1306268
01/09/2013;1297777
01/10/2013;1315945
01/11/2013;1344676
01/12/2013;1552889
01/01/2014;1752776
01/02/2014;1207368
01/03/2014;1412412
01/04/2014;1379970
01/05/2014;1304694
01/06/2014;1261544
01/07/2014;1412379
01/08/2014;1342843
01/09/2014;1308465
01/10/2014;1373551
01/11/2014;1365378
01/12/2014;1625956
01/01/2015;1802116
01/02/2015;1337940
01/03/2015;1302842
01/04/2015;1338570
01/05/2015;1300532
01/06/2015;1235238
01/07/2015;1433319
01/08/2015;1291021
01/09/2015;1253645
01/10/2015;1338219
01/11/2015;1264125
01/12/2015;1515863
01/01/2016;1632684
01/02/2016;1277911
01/03/2016;1260849
01/04/2016;1214142
01/05/2016;1219188
01/06/2016;1089022
01/07/2016;1364791
01/08/2016;1234100
01/09/2016;1144591
01/10/2016;1233129
01/11/2016;1174803
01/12/2016;1411554
01/01/2017;1542598
01/02/2017;1103991
01/03/2017;1222030
01/04/2017;1215665
01/05/2017;1221541
01/06/2017;1183125
01/07/2017;1429356
01/08/2017;1193736
01/09/2017;1281391
01/10/2017;1322595
01/11/2017;1240050
01/12/2017;1524525
01/01/2018;1742592
01/02/2018;1237116
01/03/2018;1248145
01/04/2018;1262456
01/05/2018;1192889
01/06/2018;1120785
01/07/2018;1399819
01/08/2018;1210021
01/09/2018;1256159
01/10/2018;1289573
01/11/2018;1296939
01/12/2018;1528101
01/01/2019;1775121
01/02/2019;1125488
01/03/2019;1289846
01/04/2019;1244289
01/05/2019;1215505
01/06/2019;1191882
01/07/2019;1383961
01/08/2019;1222845
01/09/2019;1221302
01/10/2019;1302931
01/11/2019;1280372
01/12/2019;1498191
