Pais;Nome_Regiao;Codigo_Regiao;Nome_UF;Codigo_UF;Sigla_UF;Ano;Populacao_Total;Populacao_Homens;Populacao_Mulheres;Nascimentos;Obitos;TBN;TBM;EVN;EVN_Homens;EVN_Mulheres;TMI;TMI_Homens;TMI_Mulheres;TFT;TEF_15_19;TEF_20_24;TEF_25_29;TEF_30_34;TEF_35_39;TEF_40_44;TEF_45_49;Rz_Dep_Jovens;Rz_Dep_Idosos;Rz_Dep_Total;Indice_Envelhecimento;Proporcao_0a14anos;Proporcao_15a64anos;Proporcao_65anosoumais;Proporcao_15a59anos;Proporcao_60anosoumais;Idade_Mediana
Brasil;Todas;0;Todas;0;BR;2010;194890682;95513298;99377384;2939435;1240083;15,08;6,36;73,86;70,21;77,6;17,22;18,76;15,59;1,75;0,0642;0,0957;0,085;0,062;0,0331;0,0093;8,00E-04;36,32;10,77;47,09;29,55;24,7;68;7,3;64,6;10,71;29,2
Brasil;Todas;0;Todas;0;BR;2011;196603732;96322635;100281097;2974525;1247751;15,13;6,35;74,2;70,57;77,91;16,43;17,86;14,92;1,76;0,064;0,0946;0,0855;0,0642;0,0342;0,0094;8,00E-04;35,37;10,99;46,36;30,99;24,2;68,3;7,5;64,84;11;29,63
Brasil;Todas;0;Todas;0;BR;2012;198314934;97132054;101182880;2953890;1258235;14,89;6,34;74,52;70,91;78,22;15,69;17,03;14,29;1,75;0,0633;0,0918;0,0839;0,0652;0,0347;0,0094;7,00E-04;34,45;11,24;45,68;32,63;23,6;68,6;7,7;65,05;11,3;30,06
Brasil;Todas;0;Todas;0;BR;2013;200004188;97931331;102072857;2953178;1270306;14,77;6,35;74,84;71,25;78,51;15,02;16,27;13,7;1,74;0,0632;0,09;0,0828;0,0664;0,035;0,0095;7,00E-04;33,56;11,51;45,07;34,2;23,1;68,9;7,9;65,24;11,62;30,49
Brasil;Todas;0;Todas;0;BR;2014;201717541;98744098;102973443;3028202;1284346;15,01;6,37;75,14;71,57;78,78;14,4;15,58;13,16;1,78;0,0642;0,0908;0,0848;0,0687;0,0367;0,0099;7,00E-04;32,78;11,81;44,59;36,12;22,7;69,2;8,2;65,37;11,96;30,92
Brasil;Todas;0;Todas;0;BR;2015;203475683;99581002;103894681;3070979;1299541;15,09;6,39;75,44;71,88;79,05;13,82;14,93;12,65;1,8;0,0635;0,0911;0,0862;0,0702;0,0385;0,0102;7,00E-04;32,15;12,13;44,29;37,67;22,3;69,3;8,4;65,41;12,31;31,33
Brasil;Todas;0;Todas;0;BR;2016;205156587;100379640;104776947;2901053;1314164;14,14;6,41;75,72;72,18;79,31;13,29;14,35;12,19;1,7;0,0586;0,0864;0,0811;0,0665;0,0374;0,0099;7,00E-04;31,57;12,49;44,05;39,73;21,9;69,4;8,7;65,42;12,67;31,75
Brasil;Todas;0;Todas;0;BR;2017;206804741;101163599;105641142;3020743;1330811;14,61;6,44;75,99;72,46;79,56;12,81;13,8;11,75;1,78;0,0606;0,0897;0,0847;0,0697;0,0393;0,0105;8,00E-04;31,11;12,87;43,98;41,2;21,6;69,5;8,9;65,34;13,05;32,17
Brasil;Todas;0;Todas;0;BR;2018;208494900;101971173;106523727;3003585;1349693;14,41;6,47;76,25;72,74;79,8;12,35;13,31;11,35;1,77;0,0598;0,0889;0,0846;0,0699;0,0395;0,0106;8,00E-04;30,75;13,28;44,03;43,19;21,3;69,4;9,2;65,21;13,44;32,58
Brasil;Todas;0;Todas;0;BR;2019;210147125;102760295;107386830;2984414;1368954;14,2;6,51;76,5;73;80,03;11,94;12,85;10,98;1,77;0,059;0,0882;0,0845;0,0701;0,0397;0,0107;9,00E-04;30,42;13,72;44,14;45,02;21,1;69,4;9,5;65,05;13,85;32,99
