ano_mes;salario_minimo
1994-01;11,96
1994-02;15,57
1994-03;18,29
1994-04;26,01
1994-05;37,41
1994-06;53,68
1994-07;64,79
1994-08;64,79
1994-09;70
1994-10;70
1994-11;70
1994-12;70
1995-01;70
1995-02;70
1995-03;70
1995-04;70
1995-05;100
1995-06;100
1995-07;100
1995-08;100
1995-09;100
1995-10;100
1995-11;100
1995-12;100
1996-01;100
1996-02;100
1996-03;100
1996-04;100
1996-05;112
1996-06;112
1996-07;112
1996-08;112
1996-09;112
1996-10;112
1996-11;112
1996-12;112
1997-01;112
1997-02;112
1997-03;112
1997-04;112
1997-05;120
1997-06;120
1997-07;120
1997-08;120
1997-09;120
1997-10;120
1997-11;120
1997-12;120
1998-01;120
1998-02;120
1998-03;120
1998-04;120
1998-05;130
1998-06;130
1998-07;130
1998-08;130
1998-09;130
1998-10;130
1998-11;130
1998-12;130
1999-01;130
1999-02;130
1999-03;130
1999-04;130
1999-05;136
1999-06;136
1999-07;136
1999-08;136
1999-09;136
1999-10;136
1999-11;136
1999-12;136
2000-01;136
2000-02;136
2000-03;136
2000-04;151
2000-05;151
2000-06;151
2000-07;151
2000-08;151
2000-09;151
2000-10;151
2000-11;151
2000-12;151
2001-01;151
2001-02;151
2001-03;151
2001-04;180
2001-05;180
2001-06;180
2001-07;180
2001-08;180
2001-09;180
2001-10;180
2001-11;180
2001-12;180
2002-01;180
2002-02;180
2002-03;180
2002-04;200
2002-05;200
2002-06;200
2002-07;200
2002-08;200
2002-09;200
2002-10;200
2002-11;200
2002-12;200
2003-01;200
2003-02;200
2003-03;200
2003-04;240
2003-05;240
2003-06;240
2003-07;240
2003-08;240
2003-09;240
2003-10;240
2003-11;240
2003-12;240
2004-01;240
2004-02;240
2004-03;240
2004-04;240
2004-05;260
2004-06;260
2004-07;260
2004-08;260
2004-09;260
2004-10;260
2004-11;260
2004-12;260
2005-01;260
2005-02;260
2005-03;260
2005-04;260
2005-05;300
2005-06;300
2005-07;300
2005-08;300
2005-09;300
2005-10;300
2005-11;300
2005-12;300
2006-01;300
2006-02;300
2006-03;300
2006-04;350
2006-05;350
2006-06;350
2006-07;350
2006-08;350
2006-09;350
2006-10;350
2006-11;350
2006-12;350
2007-01;350
2007-02;350
2007-03;350
2007-04;380
2007-05;380
2007-06;380
2007-07;380
2007-08;380
2007-09;380
2007-10;380
2007-11;380
2007-12;380
2008-01;380
2008-02;380
2008-03;415
2008-04;415
2008-05;415
2008-06;415
2008-07;415
2008-08;415
2008-09;415
2008-10;415
2008-11;415
2008-12;415
2009-01;415
2009-02;465
2009-03;465
2009-04;465
2009-05;465
2009-06;465
2009-07;465
2009-08;465
2009-09;465
2009-10;465
2009-11;465
2009-12;465
2010-01;510
2010-02;510
2010-03;510
2010-04;510
2010-05;510
2010-06;510
2010-07;510
2010-08;510
2010-09;510
2010-10;510
2010-11;510
2010-12;510
2011-01;540
2011-02;540
2011-03;545
2011-04;545
2011-05;545
2011-06;545
2011-07;545
2011-08;545
2011-09;545
2011-10;545
2011-11;545
2011-12;545
2012-01;622
2012-02;622
2012-03;622
2012-04;622
2012-05;622
2012-06;622
2012-07;622
2012-08;622
2012-09;622
2012-10;622
2012-11;622
2012-12;622
2013-01;678
2013-02;678
2013-03;678
2013-04;678
2013-05;678
2013-06;678
2013-07;678
2013-08;678
2013-09;678
2013-10;678
2013-11;678
2013-12;678
2014-01;724
2014-02;724
2014-03;724
2014-04;724
2014-05;724
2014-06;724
2014-07;724
2014-08;724
2014-09;724
2014-10;724
2014-11;724
2014-12;724
2015-01;788
2015-02;788
2015-03;788
2015-04;788
2015-05;788
2015-06;788
2015-07;788
2015-08;788
2015-09;788
2015-10;788
2015-11;788
2015-12;788
2016-01;880
2016-02;880
2016-03;880
2016-04;880
2016-05;880
2016-06;880
2016-07;880
2016-08;880
2016-09;880
2016-10;880
2016-11;880
2016-12;880
2017-01;937
2017-02;937
2017-03;937
2017-04;937
2017-05;937
2017-06;937
2017-07;937
2017-08;937
2017-09;937
2017-10;937
2017-11;937
2017-12;937
2018-01;954
2018-02;954
2018-03;954
2018-04;954
2018-05;954
2018-06;954
2018-07;954
2018-08;954
2018-09;954
2018-10;954
2018-11;954
2018-12;954
2019-01;998
2019-02;998
2019-03;998
2019-04;998
2019-05;998
2019-06;998
2019-07;998
2019-08;998
2019-09;998
2019-10;998
2019-11;998
2019-12;998
2020-01;1.039,00
2020-02;1.045,00
2020-03;1.045,00
2020-04;1.045,00
2020-05;1.045,00
2020-06;1.045,00
2020-07;1.045,00
2020-08;1.045,00
2020-09;1.045,00
2020-10;1.045,00
2020-11;1.045,00
2020-12;1.045,00
2021-01;1.100,00
2021-02;1.100,00
2021-03;1.100,00
2021-04;1.100,00
2021-05;1.100,00
2021-06;1.100,00
2021-07;1.100,00
2021-08;1.100,00
2021-09;1.100,00
2021-10;1.100,00
2021-11;1.100,00
2021-12;1.100,00
